series,pubCohort,wgDum,rfcDum,filesize,n_author,n_affil,usAuth,forAuth,n_com,n_edu,n_gov,n_net,n_org,priorwgc,rfcKeyCnt,patCites,rfcCites,rfcPages,pubCites,backCites,stBackCites,nsBackCites,cumWgOrg2,techarea,cummsgs,ttlmsg1yr,ttlusr1yr,ttlafl1yr,areaCumUsrs,areaCumAfls,areaUsrGrowth,areaAflGrowth,cummsgs_all,age,exiType,exprfc,inforfc,strfc,nsrfc
2101,2005,0,0,21019,1,1,0,1,1,0,0,0,0,0,2,0,0,,0,,,,116,"none",,,,,,,,,,3,2,0,0,0,0
2102,2001,0,0,74310,1,1,1,0,1,0,0,0,0,0,3,0,0,,0,,,,141,"none",,,,,,,,,,3,2,0,0,0,0
2103,2001,0,0,77589,3,3,1,0,3,0,0,0,0,0,2,0,0,,0,,,,141,"none",10837,4405,1205,771,4750,4127,1220,1065,13289,3,2,0,0,0,0
2104,2004,0,1,9888,1,1,1,0,0,0,0,0,1,0,0,0,0,10,0,9,6,3,116,"none",,,,,,,,,,8,4,0,0,1,0
2105,1996,0,0,27378,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,55,"none",1349,221,82,80,6840,6078,1893,1656,2371,3,2,0,0,0,0
2106,2002,0,0,55584,2,2,1,0,1,0,0,0,1,0,16,0,0,,0,,,,128,"none",,,,,,,,,,1,2,0,0,0,0
2107,1997,0,0,23322,1,1,0,1,0,1,0,0,0,0,1,0,0,,0,,,,81,"none",,,,,,,,,,4,2,0,0,0,0
2108,2002,0,0,12425,1,1,1,0,0,0,0,0,1,0,3,0,0,,0,,,,128,"none",6523,3082,384,362,20526,16500,3777,2749,6739,1,2,0,0,0,0
2109,2002,0,1,55579,2,2,1,0,1,0,0,0,1,0,16,0,19,46,0,18,14,4,128,"none",,,,,,,,,,12,4,0,0,1,0
2110,2001,0,0,16512,1,1,1,0,0,0,0,0,1,0,8,0,0,,0,,,,141,"none",,,,,,,,,,1,2,0,0,0,0
2111,2005,0,0,26538,2,2,1,0,0,0,0,0,2,1,4,0,0,,0,,,,116,"none",,,,,,,,,,4,2,0,0,0,0
2112,1997,0,0,15526,1,1,0,1,0,1,0,0,0,0,3,0,0,,0,,,,81,"none",,,,,,,,,,1,2,0,0,0,0
2113,1996,0,0,12995,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,55,"none",,,,,,,,,,2,2,0,0,0,0
2114,2001,0,0,22771,5,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,141,"none",,,,,,,,,,2,2,0,0,0,0
2115,1998,0,0,65811,6,2,1,0,2,0,0,0,0,1,0,0,0,,0,,,,101,"none",,,,,,,,,,1,2,0,0,0,0
2116,2002,0,0,35493,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,128,"none",490,490,170,128,12797,9710,2864,2179,893,1,2,0,0,0,0
2117,1998,0,0,63607,1,1,1,0,1,0,0,0,0,0,45,0,0,,0,,,,101,"none",,,,,,,,,,1,2,0,0,0,0
2118,2002,0,0,185308,1,1,1,0,0,0,0,0,1,0,134,0,0,,0,,,,128,"none",,,,,,,,,,6,2,0,0,0,0
2119,2004,0,0,20281,1,1,1,0,0,0,0,1,0,0,1,0,0,,0,,,,116,"none",,,,,,,,,,1,2,0,0,0,0
2120,2000,0,0,26695,2,1,1,0,1,0,0,0,0,0,55,0,0,,0,,,,129,"none",,,,,,,,,,3,2,0,0,0,0
2121,2002,0,0,25659,1,1,1,0,1,0,0,0,0,0,45,0,0,,0,,,,128,"none",,,,,,,,,,1,2,0,0,0,0
2122,1999,0,0,15388,2,2,1,0,1,0,0,0,1,0,0,0,0,,0,,,,110,"none",2795,643,193,178,14247,12583,1930,1745,4072,1,2,0,0,0,0
2123,2000,0,0,9814,1,1,0,1,0,1,0,0,0,0,10,0,0,,0,,,,129,"none",,,,,,,,,,2,2,0,0,0,0
2124,2001,0,0,5441,2,2,1,1,1,1,0,0,0,1,1,0,0,,0,,,,141,"none",,,,,,,,,,2,2,0,0,0,0
2125,2003,0,0,21245,1,1,0,1,0,1,0,0,0,0,20,0,0,,0,,,,120,"none",,,,,,,,,,9,2,0,0,0,0
2126,2002,0,0,26249,1,1,0,1,0,1,0,0,0,0,32,0,0,,0,,,,128,"none",13459,1978,553,443,10315,9117,1651,1478,15051,6,2,0,0,0,0
2127,2005,0,0,6510,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,116,"none",,,,,,,,,,2,2,0,0,0,0
2128,1997,0,0,4101,1,1,0,1,0,1,0,0,0,0,1,0,0,,0,,,,81,"none",,,,,,,,,,1,2,0,0,0,0
2129,2002,0,0,7027,2,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,128,"none",,,,,,,,,,10,2,0,0,0,0
2130,2002,0,0,14792,2,2,0,1,0,2,0,0,0,0,0,0,0,,0,,,,128,"none",,,,,,,,,,1,2,0,0,0,0
2131,2001,0,0,19389,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,141,"none",,,,,,,,,,2,2,0,0,0,0
2132,2002,0,0,10711,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,128,"none",,,,,,,,,,5,2,0,0,0,0
2133,2005,0,0,18504,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,116,"none",,,,,,,,,,4,2,0,0,0,0
2134,2004,0,0,10074,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,116,"none",,,,,,,,,,6,2,0,0,0,0
2135,2001,0,0,20718,2,2,0,1,0,1,0,0,0,0,0,0,0,,0,,,,141,"none",,,,,,,,,,2,2,0,0,0,0
2136,2004,0,0,17067,2,2,0,1,1,1,0,0,0,0,41,0,0,,0,,,,116,"none",,,,,,,,,,2,2,0,0,0,0
2137,2005,0,0,12067,2,2,0,1,1,1,0,0,0,0,15,0,0,,0,,,,116,"none",,,,,,,,,,6,1,0,0,0,0
2138,2004,0,0,11413,1,1,0,1,0,1,0,0,0,0,3,0,0,,0,,,,116,"none",,,,,,,,,,5,2,0,0,0,0
2139,2001,0,0,8680,1,1,0,1,0,1,0,0,0,0,1,0,0,,0,,,,141,"none",,,,,,,,,,1,2,0,0,0,0
2140,2002,0,0,8734,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,128,"none",,,,,,,,,,4,2,0,0,0,0
2141,2003,0,0,68394,2,1,0,0,0,0,0,0,0,0,7,0,0,,0,,,,120,"none",,,,,,,,,,2,2,0,0,0,0
2142,1996,0,0,23193,1,1,0,1,0,0,0,0,1,0,50,0,0,,0,,,,55,"none",,,,,,,,,,1,2,0,0,0,0
2143,2001,0,0,7696,1,1,1,0,1,0,0,0,0,1,18,0,0,,0,,,,141,"none",2796,0,0,0,19710,17455,2779,2447,4074,1,2,0,0,0,0
2144,2005,0,0,9116,2,2,1,1,1,1,0,0,0,1,1,0,0,,0,,,,116,"none",,,,,,,,,,2,2,0,0,0,0
2145,2003,0,0,7015,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,120,"none",1397,350,115,109,15685,13690,1631,1460,1573,1,2,0,0,0,0
2146,1997,0,0,5802,1,1,0,1,0,0,0,0,1,0,0,0,0,,0,,,,81,"none",,,,,,,,,,1,2,0,0,0,0
2147,2002,0,0,10923,2,2,1,0,2,0,0,0,0,1,0,0,0,,0,,,,128,"none",,,,,,,,,,1,2,0,0,0,0
2148,2001,0,1,16471,2,2,1,0,2,0,0,0,0,1,0,0,2,7,0,1,0,1,141,"none",,,,,,,,,,3,3,0,1,0,1
2149,2000,0,0,7328,2,2,1,0,2,0,0,0,0,1,0,0,0,,0,,,,129,"none",,,,,,,,,,2,2,0,0,0,0
2150,1999,0,0,5291,1,1,0,1,0,0,0,0,1,0,2,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2151,1997,0,0,12612,1,1,0,1,0,0,0,0,1,0,11,0,0,,0,,,,81,"none",,,,,,,,,,1,2,0,0,0,0
2153,2004,0,0,10921,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,116,"none",,,,,,,,,,1,2,0,0,0,0
2154,2002,0,0,7661,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,128,"none",,,,,,,,,,1,2,0,0,0,0
2155,2001,0,0,4768,2,2,1,0,2,0,0,0,0,1,5,0,0,,0,,,,141,"none",1580,477,158,135,14951,12474,2983,2249,1756,1,2,0,0,0,0
2156,2002,0,0,21665,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,128,"none",3065,1186,244,217,20631,16646,3917,2894,3407,1,2,0,0,0,0
2157,2000,0,0,6060,1,1,1,0,1,0,0,0,0,1,6,0,0,,0,,,,129,"none",1265,393,134,121,13041,11054,2554,2001,1394,2,2,0,0,0,0
2158,2000,0,0,8739,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,129,"none",1265,393,134,121,13041,11054,2554,2001,1394,3,2,0,0,0,0
2160,2003,0,0,7313,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,120,"none",1256,1256,176,156,16025,14019,1570,1413,1331,1,2,0,0,0,0
2161,2003,0,0,13074,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,120,"none",1256,1256,176,156,16025,14019,1570,1413,1331,1,2,0,0,0,0
2162,2000,0,0,39051,4,3,1,1,3,0,0,0,0,1,8,0,0,,0,,,,129,"none",838,607,159,133,10990,9636,967,905,1000,1,2,0,0,0,0
2163,2000,0,0,39155,3,1,1,0,1,0,0,0,0,0,50,0,0,,0,,,,129,"none",838,607,159,133,10990,9636,967,905,1000,1,2,0,0,0,0
2164,2000,0,0,31841,3,3,1,0,2,0,0,0,1,0,2,0,0,,0,,,,129,"none",1,1,1,1,140,132,112,107,2,2,2,0,0,0,0
2165,1999,0,0,22845,2,2,1,0,2,0,0,0,0,0,0,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2167,2002,0,0,15434,2,1,1,0,1,0,0,0,0,0,9,0,0,,0,,,,128,"none",,,,,,,,,,2,2,0,0,0,0
2168,2000,0,0,30837,3,1,0,1,1,0,0,0,0,0,2,0,0,,0,,,,129,"none",,,,,,,,,,2,2,0,0,0,0
2171,1997,0,1,32316,5,5,1,0,4,0,0,0,1,0,51,2,5,20,1,5,1,4,81,"none",15,15,7,7,3130,2675,924,804,23,7,3,0,1,0,1
2172,1997,0,1,55321,5,5,1,0,4,0,0,0,1,0,98,1,13,37,3,12,6,6,81,"none",15,15,7,7,3130,2675,924,804,23,8,3,0,1,0,1
2173,2003,0,1,65806,1,1,1,0,1,0,0,0,0,1,76,0,0,107,0,16,13,3,120,"none",,,,,,,,,,16,4,0,0,1,0
2174,2001,0,0,42518,1,1,1,0,1,0,0,0,0,0,20,0,0,,0,,,,141,"none",,,,,,,,,,1,2,0,0,0,0
2175,2004,0,0,20818,1,1,1,0,0,0,0,0,1,1,19,0,0,,0,,,,116,"none",7739,0,0,0,24985,22244,1419,1215,8483,10,1,0,0,0,0
2176,1998,0,0,30224,2,1,1,0,1,0,0,0,0,0,16,0,0,,0,,,,101,"none",,,,,,,,,,1,2,0,0,0,0
2177,1998,0,0,16075,1,1,1,0,1,0,0,0,0,0,8,0,0,,0,,,,101,"none",,,,,,,,,,1,2,0,0,0,0
2178,1998,0,0,35618,2,2,1,0,2,0,0,0,0,0,2,0,0,,0,,,,101,"none",,,,,,,,,,1,2,0,0,0,0
2179,2003,0,0,18535,1,1,1,0,1,0,0,0,0,1,4,0,0,,0,,,,120,"none",,,,,,,,,,1,2,0,0,0,0
2180,2002,0,0,7101,2,2,1,0,2,0,0,0,0,0,0,0,0,,0,,,,128,"none",1448,604,141,125,16005,12696,4805,3560,1658,2,2,0,0,0,0
2183,1999,0,0,31445,1,1,1,0,0,1,0,0,0,0,55,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2184,1997,0,0,40572,1,1,1,0,0,1,0,0,0,0,46,0,0,,0,,,,81,"none",,,,,,,,,,2,2,0,0,0,0
2185,1998,0,0,9274,1,1,1,0,0,1,0,0,0,0,9,0,0,,0,,,,101,"none",,,,,,,,,,1,2,0,0,0,0
2186,1997,0,0,8995,1,1,1,0,0,1,0,0,0,0,7,0,0,,0,,,,81,"none",,,,,,,,,,1,2,0,0,0,0
2187,2003,0,1,17056,3,3,1,1,2,1,0,0,0,0,0,0,0,10,0,4,3,1,120,"none",,,,,,,,,,5,3,0,1,0,1
2188,1997,0,0,23271,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,81,"none",,,,,,,,,,8,2,0,0,0,0
2189,2000,0,0,24242,1,1,1,0,1,0,0,0,0,1,9,0,0,,0,,,,129,"none",,,,,,,,,,5,2,0,0,0,0
2190,1995,0,1,106891,4,1,1,0,1,0,0,0,0,1,0,0,1,52,0,4,3,1,42,"none",,,,,,,,,,2,3,0,1,0,1
2191,1999,0,1,26788,2,2,1,0,1,0,0,1,0,1,0,1,3,13,0,3,1,2,110,"none",,,,,,,,,,2,3,0,1,0,1
2192,1999,0,1,36922,2,2,1,0,2,0,0,0,0,1,6,0,3,20,0,7,2,5,110,"none",,,,,,,,,,6,3,0,1,0,1
2193,2000,0,0,9954,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,129,"none",,,,,,,,,,2,2,0,0,0,0
2194,1995,0,0,45175,1,1,1,0,1,0,0,0,0,0,5,0,0,,0,,,,42,"none",,,,,,,,,,2,2,0,0,0,0
2195,1999,0,0,9936,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,110,"none",,,,,,,,,,11,2,0,0,0,0
2196,1996,0,0,13451,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,55,"none",,,,,,,,,,3,2,0,0,0,0
2197,1992,0,1,10878,1,1,1,0,1,0,0,0,0,0,5.71113,35,4,6,0,7,5,2,19,"none",,,,,,,,,,2,3,1,0,0,1
2199,1996,0,0,44000,1,1,1,0,1,0,0,0,0,0,9,0,0,,0,,,,55,"none",,,,,,,,,,3,2,0,0,0,0
2200,2004,0,1,16981,1,1,1,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,116,"none",,,,,,,,,,3,3,0,1,0,1
2201,2000,0,1,14048,1,1,1,0,1,0,0,0,0,1,0,0,0,15,0,12,7,5,129,"none",,,,,,,,,,6,3,0,1,0,1
2203,2000,0,1,55983,3,3,1,0,2,1,0,0,0,1,0,4,42,48,0,22,16,6,129,"none",,,,,,,,,,9,3,0,0,0,0
2204,2001,0,1,36414,1,1,1,0,1,0,0,0,0,1,0,0,2,19,0,6,1,5,141,"none",,,,,,,,,,5,3,0,1,0,1
2205,1998,0,1,21501,1,1,1,0,1,0,0,0,0,1,0,0,2,16,0,3,0,3,101,"none",,,,,,,,,,5,3,0,1,0,1
2206,2001,0,1,33296,2,2,1,0,2,0,0,0,0,1,0,2,18,22,7,3,0,3,141,"none",,,,,,,,,,3,3,0,1,0,1
2207,2002,0,0,7906,1,1,1,0,1,0,0,0,0,1,0,0,0,,0,,,,128,"none",,,,,,,,,,3,2,0,0,0,0
2208,1995,0,0,24336,2,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,42,"none",,,,,,,,,,3,2,0,0,0,0
2209,2001,0,0,16359,1,1,1,0,1,0,0,0,0,1,15,0,0,,0,,,,141,"none",3395,0,0,0,17841,15852,2258,2038,3919,1,2,0,0,0,0
2210,1996,0,0,41117,1,1,1,0,1,0,0,0,0,0,6,0,0,,0,,,,55,"none",,,,,,,,,,4,2,0,0,0,0
2211,2001,0,1,14603,1,1,1,0,1,0,0,0,0,1,0,0,2,17,0,15,4,11,141,"none",,,,,,,,,,9,4,0,0,1,0
2212,2001,0,1,36223,2,2,1,0,2,0,0,0,0,1,0,0,1,22,0,26,13,13,141,"none",,,,,,,,,,7,3,0,1,0,1
2213,1999,0,0,92602,6,2,0,1,2,0,0,0,0,0,0,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2214,2004,0,0,18906,1,1,1,0,0,0,1,0,0,0,17,0,0,,0,,,,116,"none",,,,,,,,,,4,2,0,0,0,0
2215,2004,0,0,34680,1,1,1,0,0,0,1,0,0,0,12,0,0,,0,,,,116,"none",,,,,,,,,,1,2,0,0,0,0
2216,2004,0,0,48385,3,2,1,0,0,1,1,0,0,0,8,0,0,,0,,,,116,"none",,,,,,,,,,1,2,0,0,0,0
2217,1993,0,1,41000,2,2,0,1,2,0,0,0,0,1,20.0409,101,11,10,16,2,1,1,20,"none",,,,,,,,,,1,3,0,1,0,1
2218,2004,0,0,25574,2,2,0,1,2,0,0,0,0,0,22,0,0,,0,,,,116,"none",,,,,,,,,,2,2,0,0,0,0
2219,2004,0,0,52405,1,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,116,"none",,,,,,,,,,2,2,0,0,0,0
2220,2004,0,0,77939,2,2,1,1,2,0,0,0,0,0,82,0,0,,0,,,,116,"none",,,,,,,,,,1,2,0,0,0,0
2221,2004,0,0,29082,2,2,1,1,2,0,0,0,0,0,0,0,0,,0,,,,116,"none",,,,,,,,,,1,2,0,0,0,0
2222,2004,0,0,22172,1,1,0,1,1,0,0,0,0,0,16,0,0,,0,,,,116,"none",200,200,37,31,26021,20596,3168,2591,255,2,2,0,0,0,0
2223,2004,0,0,32095,3,1,0,1,1,0,0,0,0,0,8,0,0,,0,,,,116,"none",,,,,,,,,,3,2,0,0,0,0
2224,2001,0,0,49589,3,2,1,1,0,1,0,0,1,0,35,0,0,,0,,,,141,"none",,,,,,,,,,1,2,0,0,0,0
2225,2003,0,0,28719,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,120,"none",3904,934,193,112,21066,16744,4745,3691,4432,1,2,0,0,0,0
2226,2003,0,0,28831,1,1,1,0,1,0,0,0,0,0,2,0,0,,0,,,,120,"none",3904,934,193,112,21066,16744,4745,3691,4432,1,2,0,0,0,0
2227,2001,0,0,23817,4,3,0,1,1,0,0,0,1,0,12,0,0,,0,,,,141,"none",2783,362,150,119,13969,11185,4543,3414,3673,2,2,0,0,0,0
2228,2004,0,0,26602,1,1,0,1,0,0,0,0,1,0,14,0,0,,0,,,,116,"none",,,,,,,,,,2,2,0,0,0,0
2229,2003,0,0,26965,1,1,0,1,0,0,0,0,1,0,18,0,0,,0,,,,120,"none",21,21,9,8,24304,19191,3521,2818,24,1,2,0,0,0,0
2230,1999,0,1,36354,2,2,1,1,2,0,0,0,0,1,0,0,2,19,0,8,4,4,110,"none",,,,,,,,,,5,3,0,1,0,1
2231,2004,0,0,13883,1,1,1,0,0,0,0,0,1,0,0,0,0,,0,,,,116,"none",,,,,,,,,,1,2,0,0,0,0
2232,2000,0,0,75310,4,2,0,1,1,1,0,0,0,0,2,0,0,,0,,,,129,"none",664,451,126,106,10805,9468,971,914,809,1,2,0,0,0,0
2233,1999,0,0,41442,3,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,110,"none",111,74,16,15,10365,9044,1076,981,167,2,2,0,0,0,0
2234,1999,0,0,39117,3,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2235,1995,0,1,6527,1,1,0,0,0,0,0,0,0,0,0,0,8,8,1,3,2,1,42,"none",3133,986,192,163,918,823,416,349,3523,5,4,0,0,1,0
2236,1997,0,0,25781,2,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,81,"none",,,,,,,,,,1,2,0,0,0,0
2237,1998,0,0,78401,1,1,1,0,1,0,0,0,0,0,42,0,0,,0,,,,101,"none",,,,,,,,,,1,2,0,0,0,0
2238,2000,0,0,22722,3,3,1,1,2,0,1,0,0,0,2,0,0,,0,,,,129,"none",1884,1131,257,197,17580,15708,1925,1787,2585,1,2,0,0,0,0
2239,1999,0,0,22342,3,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,110,"none",2787,744,156,131,5900,4909,1435,1185,3092,1,2,0,0,0,0
2240,2001,0,0,38330,5,3,1,0,2,0,0,0,0,0,0,0,0,,0,,,,141,"none",,,,,,,,,,1,2,0,0,0,0
2241,2000,0,0,19985,2,1,0,1,1,0,0,0,0,0,3,0,0,,0,,,,129,"none",,,,,,,,,,2,2,0,0,0,0
2242,2001,0,0,24822,2,1,0,1,1,0,0,0,0,0,8,0,0,,0,,,,141,"none",7079,2918,498,324,15585,12995,3022,2284,8429,5,2,0,0,0,0
2243,1999,0,0,30785,2,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,110,"none",2312,59,39,36,9474,8170,1012,885,2756,4,2,0,0,0,0
2244,2003,0,0,57064,1,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,120,"none",5190,1662,438,313,23630,18802,2945,2399,5718,1,2,0,0,0,0
2245,2000,0,0,63815,2,1,0,1,1,0,0,0,0,0,65,0,0,,0,,,,129,"none",,,,,,,,,,1,2,0,0,0,0
2246,2003,0,0,58930,5,3,1,1,3,0,0,0,0,1,0,0,0,,0,,,,120,"none",1580,1580,253,228,16681,14605,1680,1517,1685,1,2,0,0,0,0
2247,2001,0,1,88162,2,1,1,0,0,1,0,0,0,0,107,0,0,49,0,7,6,1,141,"none",,,,,,,,,,2,3,0,1,0,1
2248,2000,0,0,63359,1,1,1,0,0,1,0,0,0,0,66,0,0,,0,,,,129,"none",79,79,31,28,17973,15998,2151,1956,97,2,2,0,0,0,0
2249,2004,0,0,14260,2,2,1,0,2,0,0,0,0,0,5,0,0,,0,,,,116,"none",,,,,,,,,,3,2,0,0,0,0
2251,1999,0,0,16763,3,3,1,1,2,1,0,0,0,0,3,0,0,,0,,,,110,"none",,,,,,,,,,2,2,0,0,0,0
2252,2005,0,0,15182,1,1,0,1,1,0,0,0,0,0,6,0,0,,0,,,,116,"none",,,,,,,,,,1,2,0,0,0,0
2253,2004,0,0,25780,2,2,1,1,2,0,0,0,0,0,8,0,0,,0,,,,116,"none",19289,1330,391,277,24670,20712,2972,2490,21499,2,2,0,0,0,0
2254,2003,0,0,85047,1,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,120,"none",4145,2172,477,324,21845,17323,3837,3037,4545,1,2,0,0,0,0
2255,2003,0,0,37744,2,2,1,1,2,0,0,0,0,0,38,0,0,,0,,,,120,"none",4359,2188,468,325,22110,17535,3656,2899,4791,2,2,0,0,0,0
2256,2002,0,0,120247,2,2,1,1,2,0,0,0,0,0,152,0,0,,0,,,,128,"none",1518,1517,429,290,17090,13579,4938,3676,1714,4,2,0,0,0,0
2257,2003,0,0,95381,2,2,1,1,2,0,0,0,0,0,3,0,0,,0,,,,120,"none",4359,2188,468,325,22110,17535,3656,2899,4791,2,2,0,0,0,0
2258,2004,0,0,18609,1,1,0,1,1,0,0,0,0,0,0,0,0,,0,,,,116,"none",5918,1559,423,302,24818,19800,2708,2265,6520,3,2,0,0,0,0
2259,2002,0,0,16123,2,2,1,0,2,0,0,0,0,0,0,0,0,,0,,,,128,"none",,,,,,,,,,1,2,0,0,0,0
2260,2001,0,0,12674,2,2,1,0,2,0,0,0,0,0,13,0,0,,0,,,,141,"none",728,474,154,127,15951,13246,3226,2393,917,1,2,0,0,0,0
2261,2001,0,0,9993,2,2,1,0,2,0,0,0,0,0,8,0,0,,0,,,,141,"none",970,586,166,135,16967,13999,3354,2473,1172,2,2,0,0,0,0
2262,2001,0,0,15742,2,2,1,0,2,0,0,0,0,0,11,0,0,,0,,,,141,"none",1130,636,169,135,18372,15038,3720,2747,1361,1,2,0,0,0,0
2263,2002,0,0,19256,3,3,1,0,2,0,0,1,0,0,0,0,0,,0,,,,128,"none",,,,,,,,,,1,2,0,0,0,0
2264,2001,0,0,51746,2,2,1,0,2,0,0,0,0,0,1,0,0,,0,,,,141,"none",,,,,,,,,,1,2,0,0,0,0
2265,2001,0,0,22013,1,1,1,0,1,0,0,0,0,0,2,0,0,,0,,,,141,"none",,,,,,,,,,1,2,0,0,0,0
2266,2003,0,0,75763,1,1,1,0,1,0,0,0,0,0,2,0,0,,0,,,,120,"none",,,,,,,,,,1,2,0,0,0,0
2267,1996,0,1,66093,2,2,1,1,2,0,0,0,0,1,81,4,11,56,0,30,25,5,55,"none",,,,,,,,,,9,4,0,0,1,0
2268,1997,0,1,9024,2,2,1,1,2,0,0,0,0,1,1,0,4,6,0,4,1,3,81,"none",,,,,,,,,,4,4,0,0,1,0
2269,1999,0,0,17393,1,1,0,1,1,0,0,0,0,0,2,0,0,,0,,,,110,"none",,,,,,,,,,2,2,0,0,0,0
2270,2000,0,0,15329,2,1,0,1,1,0,0,0,0,1,2,0,0,,0,,,,129,"none",,,,,,,,,,3,2,0,0,0,0
2271,2000,0,1,10460,1,1,0,1,1,0,0,0,0,0,0,0,2,11,0,8,6,2,129,"none",,,,,,,,,,10,4,0,0,1,0
2272,1997,0,1,5520,2,2,1,1,2,0,0,0,0,1,1,0,5,4,0,3,2,1,81,"none",,,,,,,,,,4,4,0,0,1,0
2273,1999,0,0,12493,1,1,0,1,1,0,0,0,0,0,5,0,0,,0,,,,110,"none",,,,,,,,,,2,2,0,0,0,0
2274,1999,0,0,15228,3,1,1,0,1,0,0,0,0,0,12,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2275,2000,0,0,44311,1,1,1,0,0,0,0,0,1,0,15,0,0,,0,,,,129,"none",,,,,,,,,,3,2,0,0,0,0
2276,1999,0,0,11006,1,1,0,1,1,0,0,0,0,0,34,0,0,,0,,,,110,"none",,,,,,,,,,2,2,0,0,0,0
2277,1999,0,0,16127,2,2,1,1,2,0,0,0,0,1,7,0,0,,0,,,,110,"none",,,,,,,,,,2,2,0,0,0,0
2278,1997,0,1,9788,2,2,1,1,2,0,0,0,0,1,4,0,4,6,0,5,2,3,81,"none",,,,,,,,,,4,4,0,0,1,0
2279,1999,0,0,15288,1,1,1,0,1,0,0,0,0,0,28,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2280,1999,0,0,108095,2,2,1,1,2,0,0,0,0,1,200,0,0,,0,,,,110,"none",,,,,,,,,,3,2,0,0,0,0
2281,1999,0,0,19021,2,1,1,0,1,0,0,0,0,0,29,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2282,1997,0,0,30858,1,1,0,1,1,0,0,0,0,0,9,0,0,,0,,,,81,"none",,,,,,,,,,2,2,0,0,0,0
2283,1999,0,0,103229,2,2,1,1,2,0,0,0,0,1,194,0,0,,0,,,,110,"none",,,,,,,,,,1,2,0,0,0,0
2284,1999,0,0,21692,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,110,"none",,,,,,,,,,2,2,0,0,0,0
2286,1996,0,1,12126,1,1,1,0,1,0,0,0,0,0,0,1,2,6,0,0,0,0,55,"none",,,,,,,,,,2,3,1,0,0,1
2287,2003,0,0,15345,3,2,1,0,1,0,0,0,0,0,3,0,0,,0,,,,120,"none",,,,,,,,,,1,2,0,0,0,0
2288,1997,0,1,22866,3,3,1,1,1,1,0,0,0,1,0,1,10,10,1,7,7,0,81,"none",,,,,,,,,,3,4,0,0,1,0
2289,1997,0,0,11473,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,,,,81,"none",,,,,,,,,,1,2,0,0,0,0
2290,2003,0,0,37686,2,1,1,0,1,0,0,0,0,0,18,0,0,,0,,,,120,"none",3171,1278,543,464,12502,9353,2442,1849,4251,2,2,0,0,0,0
2291,2001,0,0,19528,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,141,"none",2078,721,202,179,17082,14022,3429,2504,2337,1,2,0,0,0,0
2292,2001,0,0,25016,1,1,1,0,1,0,0,0,0,0,11,0,0,,0,,,,141,"none",1879,564,180,158,16714,13752,3340,2450,2097,2,2,0,0,0,0
