series,pubCohort,wgDum,rfcDum,filesize,n_author,n_affil,usAuth,forAuth,n_com,n_edu,n_gov,n_net,n_org,priorwgc,rfcKeyCnt,patCites,rfcCites,rfcPages,pubCites,backCites,stBackCites,nsBackCites,cumWgOrg2,techarea,cummsgs,ttlmsg1yr,ttlusr1yr,ttlafl1yr,areaCumUsrs,areaCumAfls,areaUsrGrowth,areaAflGrowth,cummsgs_all,age,exiType,exprfc,inforfc,strfc,nsrfc
37,1999,0,0,16728,1,1,1,0,1,0,0,0,0,1,11,0,0,,0,,,,110,"none",7116,591,168,144,12756,11378,2168,1951,7684,1,2,0,0,0,0
38,1999,0,0,24672,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,,,,110,"none",7116,591,168,144,12756,11378,2168,1951,7684,2,2,0,0,0,0
39,1997,1,0,14675,1,1,1,0,0,0,0,0,1,1,0,0,0,,0,,,,8,"rtg",673,0,0,0,1954,1669,368,281,810,3,2,0,0,0,0
40,1998,1,0,42971,3,2,1,1,2,0,0,0,0,0,0,0,0,,0,,,,12,"none",,,,,,,,,,2,2,0,0,0,0
41,1997,1,1,12503,4,3,1,0,0,2,0,1,0,1,2,0,6,56,2,14,9,5,8,"tsv",12,12,6,6,3836,3190,1019,845,20,7,3,1,0,0,1
42,1994,1,0,49369,2,2,1,0,2,0,0,0,0,1,0,0,0,,0,,,,3,"rtg",,,,,,,,,,2,2,0,0,0,0
43,1996,1,0,25680,2,2,1,1,0,1,0,1,0,0,0,0,0,,0,,,,5,"tsv",2,2,2,2,2274,1884,781,653,6,14,2,0,0,0,0
44,1998,1,0,46774,1,1,1,0,1,0,0,0,0,0,92,0,0,,0,,,,2,"app",129,129,35,35,11295,9982,3008,2599,167,2,2,0,0,0,0
45,1995,1,1,102885,1,1,1,0,1,0,0,0,0,1,117,4,12,28,4,15,13,2,7,"int",521,241,94,80,4929,4313,1477,1306,650,5,4,0,0,1,0
46,1997,1,1,36521,1,1,1,0,1,0,0,0,0,0,0,5,3,29,1,2,1,1,1,"int",,,,,,,,,,18,4,0,0,1,0
47,1995,1,0,23600,1,1,1,0,1,0,0,0,0,0,15,0,0,,0,,,,7,"int",2,1,1,1,4945,4334,1582,1388,4,3,2,0,0,0,0
48,2001,1,1,37315,5,5,1,1,4,0,0,0,0,1,0,0,6,24,0,13,12,1,13,"int",11989,1958,505,405,14328,11810,3015,2203,13266,9,4,0,0,1,0
49,2001,1,0,57237,4,4,1,1,3,0,0,0,0,1,0,0,0,,0,,,,13,"int",11989,1958,505,405,14328,11810,3015,2203,13266,9,2,0,0,0,0
50,1994,1,0,41449,1,1,1,0,1,0,0,0,0,0,1,0,0,,0,,,,1,"sec",728,474,109,95,947,779,323,272,810,1,2,0,0,0,0
51,1997,1,0,13470,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,,,,15,"none",,,,,,,,,,2,2,0,0,0,0
52,1998,1,0,33581,2,2,1,0,1,0,0,1,0,0,44,0,0,,0,,,,2,"app",129,129,35,35,11295,9982,3008,2599,167,2,2,0,0,0,0
53,1997,1,0,19957,2,2,1,0,1,1,0,0,0,0,17,0,0,,0,,,,15,"none",,,,,,,,,,2,2,0,0,0,0
54,1997,1,0,10692,2,2,1,0,2,0,0,0,0,0,9,0,0,,0,,,,15,"sec",4294,1470,431,356,2584,2233,854,749,4760,1,2,0,0,0,0
55,1997,1,0,9233,2,2,1,0,2,0,0,0,0,0,11,0,0,,0,,,,15,"sec",4294,1470,431,356,2584,2233,854,749,4760,1,2,0,0,0,0
56,1995,1,1,6644,2,2,1,0,2,0,0,0,0,0,2,1,2,7,0,0,0,0,6,"none",,,,,,,,,,2,3,1,0,0,1
57,1995,1,1,70981,2,2,1,0,0,1,0,0,1,0,5,16,9,76,0,0,0,0,6,"none",,,,,,,,,,16,3,1,0,0,1
