owner_name,owner_monthly,owner_push_size,owner_push_distinct_size,owner_push_ct,owner_fork_ct,owner_watch_ct,owner_commitcomment_ct,owner_issuecomment_ct,owner_issueopen_ct,owner_issueclose_ct,owner_pullopen_ct,owner_pullopen_comment_ct,owner_pullopen_review_ct,owner_pullopen_commit_ct,owner_pullopen_add_ct,owner_pullopen_delete_ct,owner_pullopen_changefile_ct,owner_pullclose_ct,owner_pullclose_comment_ct,owner_pullclose_review_ct,owner_pullclose_commit_ct,owner_pullclose_add_ct,owner_pullclose_delete_ct,owner_pullclose_changefile_ct,owner_pushactor_actor_ct,owner_pullactor_actor_ct,repo_owner_name,repo_monthly,repo_ct
conrrado,2017-12,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,conrrado,2017-12,1
TheDeployGuy,2017-10,40,40,36,,1,,5,8,8,,,,,,,,,,,,,,,1,,TheDeployGuy,2017-10,2
nannan7777777,2017-12,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
ludusrusso,2017-12,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,
EnvironmentalDashboard,2017-12,108,108,82,,,,,,,,,,,,,,,,,,,,,2,,EnvironmentalDashboard,2017-12,1
jacook,2017-04,2,2,2,1,6,,,,,,,,,,,,,,,,,,,,,,,
jecnua,2017-06,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
shadorski,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,shadorski,2017-12,2
l3xx,2017-06,12,12,10,,,,,,,,,,,,,,,,,,,,,2,,l3xx,2017-06,1
SkyzohKeyForks,2017-11,90,90,3,,,,,,,2,0,0,89,3222,1640,110,1,0,0,88,3221,1640,109,2,1,SkyzohKeyForks,2017-11,22
christianruppert,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,christianruppert,2017-03,1
lukas-frei,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
ultraseedbox,2017-02,6,6,6,1,,,,,,,,,,,,,,,,,,,,2,,ultraseedbox,2017-02,2
lucaghersi,2017-10,4,4,5,,,,,,,,,,,,,,,,,,,,,1,,lucaghersi,2017-10,1
Fizik2,2017-03,3,3,3,,,,,,,,,,,,,,,,,,,,,,,Fizik2,2017-03,1
desaidhruv5,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
MfHy,2017-12,7,7,4,,,,,,,,,,,,,,,,,,,,,1,,MfHy,2017-12,1
cjameslok,2017-05,2,2,2,,,,,1,,,,,,,,,,,,,,,,2,,cjameslok,2017-05,2
mpomarole,2017-09,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
KannarKK,2017-03,17,17,14,,,,,,,,,,,,,,,,,,,,,3,,KannarKK,2017-03,1
luohuazhiyu,2017-12,10,10,9,17,63,,2,1,,,,,,,,,,,,,,,,,,,,
keithkade,2017-04,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
mfranczak,2017-11,5,5,5,,,1,,,,3,0,0,3,121,17,18,3,0,0,5,122,17,18,1,1,mfranczak,2017-11,1
rechnoyandrey,2017-10,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,rechnoyandrey,2017-10,1
ghreat,2017-11,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
catalin-oancea,2017-04,6,6,6,,,,,,,,,,,,,,,,,,,,,5,,catalin-oancea,2017-04,7
yohgenius,2017-10,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,yohgenius,2017-10,3
memej,2017-11,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,
yyw13,2017-05,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,yyw13,2017-05,1
nbsavyasaachi,2017-04,9,9,8,,,,,,,,,,,,,,,,,,,,,1,,nbsavyasaachi,2017-04,1
