owner_name,owner_monthly,owner_push_size,owner_push_distinct_size,owner_push_ct,owner_fork_ct,owner_watch_ct,owner_commitcomment_ct,owner_issuecomment_ct,owner_issueopen_ct,owner_issueclose_ct,owner_pullopen_ct,owner_pullopen_comment_ct,owner_pullopen_review_ct,owner_pullopen_commit_ct,owner_pullopen_add_ct,owner_pullopen_delete_ct,owner_pullopen_changefile_ct,owner_pullclose_ct,owner_pullclose_comment_ct,owner_pullclose_review_ct,owner_pullclose_commit_ct,owner_pullclose_add_ct,owner_pullclose_delete_ct,owner_pullclose_changefile_ct,owner_pushactor_actor_ct,owner_pullactor_actor_ct,repo_owner_name,repo_monthly,repo_ct
madebymak,2017-01,153,91,121,,,,,1,1,,,,,,,,,,,,,,,8,,madebymak,2017-01,8
dingchaolin,2017-07,13,13,13,,,,,,,,,,,,,,,,,,,,,1,,dingchaolin,2017-07,2
jennyliuzhang,2017-12,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
fuku2014,2017-04,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,fuku2014,2017-04,1
yaooooj,2017-08,30,30,29,,,,,,,,,,,,,,,,,,,,,,,,,
Org-Moli,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
obrienj970,2017-01,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,
qiu997018209,2017-10,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
lvezia,2017-02,3,3,3,,,,,,,,,,,,,,,,,,,,,2,,lvezia,2017-02,4
codeexhibit,2017-09,3,3,3,,1,,,,,,,,,,,,,,,,,,,2,,codeexhibit,2017-09,2
juhuaguai,2017-07,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
gerdiez,2017-11,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,gerdiez,2017-11,2
ramsha275,2017-10,10,8,8,,,,,,,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,2,ramsha275,2017-10,2
shuvo-kumar-shill,2017-10,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,,shuvo-kumar-shill,2017-10,1
HannouniAdil,2017-10,1,1,3,,,,,,,,,,,,,,,,,,,,,1,,HannouniAdil,2017-10,1
KyleMiles,2017-08,40,40,39,,,,,,,,,,,,,,,,,,,,,1,,KyleMiles,2017-08,1
randrewy,2017-01,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
migbar,2017-11,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,migbar,2017-11,1
chrisgriffith,2017-02,55,52,17,2,2,,,,,,,,,,,,,,,,,,,6,,chrisgriffith,2017-02,4
hedonazur,2017-03,4,4,3,,,,,,,,,,,,,,,,,,,,,1,,hedonazur,2017-03,1
scottgeye,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,scottgeye,2017-02,1
laubrei,2017-03,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,laubrei,2017-03,1
mikefromru,2017-06,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,mikefromru,2017-06,1
RajivChowdhury,2017-05,1,0,1,,,,,,,,,,,,,,,,,,,,,1,,RajivChowdhury,2017-05,1
jsheperd,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
qinyuling,2017-02,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,qinyuling,2017-02,1
davelab6,2017-08,44,40,24,1,2,,1,,1,1,0,0,3,7,7,8,1,0,0,3,7,7,8,3,,davelab6,2017-08,2
krisoul,2017-08,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,
Beanson,2017-05,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,Beanson,2017-05,1
Channel404,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,Channel404,2017-02,1
Gintaman,2017-05,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,Gintaman,2017-05,2
netcosports,2017-11,57,51,37,2,3,,1,1,1,5,0,0,7,937,117,40,5,0,0,11,937,117,39,7,1,netcosports,2017-11,2
ropenscilabs,2017-03,314,245,153,15,83,2,141,96,73,13,0,0,72,22861,4946,238,12,18,0,76,23686,5546,281,1,8,,,
TurmericAcai,2017-02,3,2,2,,,,,,,1,0,0,1,3,1,1,1,0,0,1,3,1,1,1,1,TurmericAcai,2017-02,1
daVoodooShuffle,2017-04,179,179,6,,,,,,,,,,,,,,,,,,,,,1,,daVoodooShuffle,2017-04,1
piterfm,2017-09,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,,,
divanshutuli,2017-10,4,4,4,,,,,,,1,0,0,1,7,7,1,,,,,,,,1,1,divanshutuli,2017-10,1
andybons,2017-12,11,11,5,1,2,,,,,,,,,,,,,,,,,,,3,,andybons,2017-12,2
brijeshb42,2017-05,8,8,8,1,7,,,,,,,,,,,,,,,,,,,1,,brijeshb42,2017-05,1
thanushcst,2017-04,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,thanushcst,2017-04,1
olakase2099,2017-07,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,olakase2099,2017-07,2
jingandkevin,2017-02,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
khoatrankt1991,2017-02,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,khoatrankt1991,2017-02,1
harshaldesale45,2017-04,1,1,1,1,,,,1,,,,,,,,,,,,,,,,1,,harshaldesale45,2017-04,3
QinZhen001,2017-08,58,58,60,,2,,,1,,,,,,,,,,,,,,,,3,,QinZhen001,2017-08,1
merryldmello,2017-07,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
BereNOD,2017-12,13,13,7,,,,,,,,,,,,,,,,,,,,,3,,BereNOD,2017-12,3
vail130,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
sixmonths,2017-06,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
SpaceYu,2017-09,12,12,9,,,,,,,,,,,,,,,,,,,,,1,,SpaceYu,2017-09,1
babiron-modder,2017-08,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,
EvgeniyBoklag,2017-09,13,13,9,,,,,,,,,,,,,,,,,,,,,2,,EvgeniyBoklag,2017-09,2
andrecp,2017-09,5,5,4,,3,,1,1,1,,,,,,,,,,,,,,,1,,andrecp,2017-09,1
biancajiang,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
azaremoth,2017-07,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
AlexanderRasolko,2017-08,6,6,6,,,,,,,,,,,,,,,,,,,,,2,,AlexanderRasolko,2017-08,2
michaelrivest,2017-10,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,
nealrichardson,2017-08,85,85,24,,8,,9,2,1,,,,,,,,,,,,,,,,,,,
AnneGaelleC,2017-03,14,14,11,,,,,,,,,,,,,,,,,,,,,4,,AnneGaelleC,2017-03,2
Gowtham506,2017-07,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,Gowtham506,2017-07,1
gbiggs,2017-05,217,156,143,,2,,1,1,1,1,0,0,2,5,5,2,1,0,0,2,5,5,2,6,1,gbiggs,2017-05,5
ndpendant,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,ndpendant,2017-08,1
varunsahni003,2017-12,6,6,5,,,,,,,,,,,,,,,,,,,,,2,,varunsahni003,2017-12,2
railsfactory-meera,2017-07,3,2,2,,,,,,,1,0,0,1,4,0,1,1,0,0,1,4,0,1,1,1,railsfactory-meera,2017-07,2
surajsinghbisht054,2017-07,4,4,4,,2,,,,,,,,,,,,,,,,,,,1,,surajsinghbisht054,2017-07,1
DualSPHysics,2017-11,2,2,2,,1,,,,,,,,,,,,,,,,,,,1,,DualSPHysics,2017-11,1
TonyKim0627,2017-03,7,7,6,,,,,,,,,,,,,,,,,,,,,1,,TonyKim0627,2017-03,1
MalcolmJones78,2017-03,22,22,16,,,,,,,,,,,,,,,,,,,,,2,,MalcolmJones78,2017-03,6
klarinetteli,2017-05,15,15,14,,,,,,,,,,,,,,,,,,,,,1,,klarinetteli,2017-05,2
tonydtran,2017-05,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,tonydtran,2017-05,1
AndyRadionov,2017-12,124,124,7,,,,,,,,,,,,,,,,,,,,,4,,AndyRadionov,2017-12,4
AJIXuMuK,2017-07,68,49,4,,,,,,,,,,,,,,,,,,,,,,,,,
karmeli87,2017-10,711,380,8,,,,,,,,,,,,,,,,,,,,,,,,,
anth-e-m,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,anth-e-m,2017-09,3
BeakerAU,2017-12,14,11,6,,,,,,,2,0,0,3,1214,0,5,2,0,0,3,1214,0,5,1,1,,,
Dunskin,2017-05,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,Dunskin,2017-05,1
krayechi619,2017-10,8,8,6,,,,,,,,,,,,,,,,,,,,,2,,krayechi619,2017-10,3
msoderstr,2017-05,3,3,2,,,,,,,,,,,,,,,,,,,,,2,,msoderstr,2017-05,2
baguwka,2017-04,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
grondilu,2017-06,1,1,1,2,6,,,,,1,0,0,1,2,2,1,,,,,,,,,,,,
CMProductions,2017-03,11,9,5,2,1,,,,,3,0,0,4,68,41,7,2,0,0,6,63,44,7,3,1,,,
nod5,2017-08,12,12,12,,,,,,,,,,,,,,,,,,,,,1,,nod5,2017-08,1
brucou,2017-07,46,46,38,,1,,,,,,,,,,,,,,,,,,,1,,,,
ahalinux,2017-03,10,10,10,,1,,,,,,,,,,,,,,,,,,,1,,ahalinux,2017-03,1
tinkrmind,2017-06,22,22,6,,,,,,,,,,,,,,,,,,,,,1,,tinkrmind,2017-06,1
luishype,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,luishype,2017-01,1
pl2476,2017-05,158,157,23,,,,,,,2,0,0,132,16876,16553,152,2,0,0,132,16876,16553,152,9,2,pl2476,2017-05,11
tknorris,2017-03,85,85,66,6,6,,43,7,7,18,0,0,18,294,15,19,18,0,0,19,294,14,19,,1,,,
cynosuretech,2017-05,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,,,
becomingRoot,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,becomingRoot,2017-03,2
Algresh,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
jmgate,2017-09,43,40,17,3,,,,,,14,0,0,15,15,0,15,13,0,0,13,13,0,13,4,4,jmgate,2017-09,5
erethedaybreak,2017-05,6,6,6,,4,,,,,,,,,,,,,,,,,,,,,,,
ericmutta,2017-08,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,ericmutta,2017-08,1
Glendonh,2017-11,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,Glendonh,2017-11,3
leonliao0520,2017-08,3,3,1,,,,,,,,,,,,,,,,,,,,,1,,leonliao0520,2017-08,1
Simicart,2017-07,10,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
soniiic,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
opensanctions,2017-05,43,38,37,2,3,,,3,1,2,0,0,5,146,2,7,2,0,0,5,146,2,7,8,1,opensanctions,2017-05,17
dpisarenko,2017-09,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,,dpisarenko,2017-09,1
lingovhackers,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,lingovhackers,2017-06,2
lyndsca94,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,lyndsca94,2017-03,1
aartrama,2017-12,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Choleriker,2017-02,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
sunyajienb,2017-06,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,sunyajienb,2017-06,2
j-zhou2,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,j-zhou2,2017-12,1
jamelouis,2017-08,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,
radugeorge,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
cwinsor,2017-04,49,49,47,,,,,,,,,,,,,,,,,,,,,3,,cwinsor,2017-04,4
sayholee,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,sayholee,2017-11,2
deaa1a,2017-11,59,59,58,,,,,,,,,,,,,,,,,,,,,1,,deaa1a,2017-11,1
TeruhisaShibuya,2017-01,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,TeruhisaShibuya,2017-01,5
Raidar,2017-02,16,16,9,,,,,,,,,,,,,,,,,,,,,,,,,
JonesSagabaen,2017-12,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
stevenliu409,2017-01,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
WoolF911,2017-10,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
ProgrammeMann,2017-02,6,6,6,,,,,,,,,,,,,,,,,,,,,2,,ProgrammeMann,2017-02,2
Jason123123,2017-10,3,3,3,,1,,,,,,,,,,,,,,,,,,,2,,Jason123123,2017-10,7
GuillaumeFavelier,2017-11,14,13,5,,,,,,,,,,,,,,,,,,,,,,,,,
junburden,2017-02,5,5,5,,,,,,,,,,,,,,,,,,,,,1,,junburden,2017-02,1
joaovissoci,2017-09,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
TheRealDrJSnow,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,TheRealDrJSnow,2017-01,2
AnoopRawat,2017-11,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
isfett,2017-10,24,24,22,,,,,,,,,,,,,,,,,,,,,3,,isfett,2017-10,4
alirkarimy,2017-12,49,44,34,,,,,,,3,0,0,3,4,1,3,4,0,0,6,3,7,4,3,1,alirkarimy,2017-12,2
carkteck,2017-01,17,17,17,,,,,,,,,,,,,,,,,,,,,3,,carkteck,2017-01,3
Tommycioc,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,Tommycioc,2017-09,2
ChallengeSY,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,ChallengeSY,2017-01,1
libowen0,2017-11,70,70,8,,,,,2,,,,,,,,,,,,,,,,,,libowen0,2017-11,1
kozichpolina,2017-08,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
mdmintz,2017-06,12,4,4,5,6,,,,,4,0,0,8,64,64,16,4,0,0,8,64,64,16,,,,,
DesarrolloAplicacionesEleinco,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,DesarrolloAplicacionesEleinco,2017-11,5
al-kov,2017-08,34,34,5,,,,,,,4,0,0,25,4169,213,74,4,0,0,25,4169,213,74,1,1,al-kov,2017-08,1
cubrady,2017-01,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,
TheDFrequency,2017-04,10,6,5,2,,,3,,,3,0,0,5,17,2,5,3,3,0,5,17,2,5,3,3,TheDFrequency,2017-04,4
flysoft-team,2017-08,12,11,5,,,,,,,2,0,0,2,19,1,3,3,0,0,4,30,14,3,1,,,,
albi3ro,2017-06,19,19,17,,2,,,,,,,,,,,,,,,,,,,2,,albi3ro,2017-06,2
LRNWebComponents,2017-05,163,163,163,,2,,,1,3,,,,,,,,,,,,,,,8,,LRNWebComponents,2017-05,6
aldiand,2017-10,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,aldiand,2017-10,1
eparton,2017-04,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
comdeng,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
alex0520,2017-07,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,alex0520,2017-07,1
maxvu,2017-05,23,23,21,,,,,,,,,,,,,,,,,,,,,,,,,
lacorey,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
jimaobian,2017-02,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Upnorth1003,2017-01,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
IraSoyka,2017-10,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,IraSoyka,2017-10,1
Sridevi2014,2017-11,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,Sridevi2014,2017-11,1
chayanpathak,2017-08,6,6,6,,,,,,,,,,,,,,,,,,,,,2,,chayanpathak,2017-08,3
hannaarfine,2017-09,21,21,21,,,,,,,,,,,,,,,,,,,,,1,,hannaarfine,2017-09,1
gitarno,2017-05,1097,1496,22,1,,,,10,,,,,,,,,,,,,,,,1,,gitarno,2017-05,1
weikipeng,2017-05,14,14,14,,,,,,,,,,,,,,,,,,,,,2,,weikipeng,2017-05,2
smxiongdi,2017-04,8,8,8,,,,,,,,,,,,,,,,,,,,,1,,smxiongdi,2017-04,2
RedTridentGames,2017-07,7,7,5,,,,,,,,,,,,,,,,,,,,,4,,RedTridentGames,2017-07,2
bws0013,2017-08,30,30,28,,,,,,,,,,,,,,,,,,,,,4,,bws0013,2017-08,4
lbattistini,2017-03,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,lbattistini,2017-03,3
cameronfray,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,cameronfray,2017-10,2
victormf01,2017-09,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,victormf01,2017-09,1
VertebrateResequencing,2017-04,62,62,26,1,1,,7,1,,,,,,,,,,,,,,,,,,,,
Rouji,2017-09,12,12,9,,,,,2,,,,,,,,,,,,,,,,,,,,
s6o,2017-11,53,53,31,,,,,,,,,,,,,,,,,,,,,3,,s6o,2017-11,3
sajjad145,2017-02,9,9,9,,,,,,,,,,,,,,,,,,,,,2,,sajjad145,2017-02,6
sikespike,2017-01,23,23,21,,,,,,,,,,,,,,,,,,,,,3,,sikespike,2017-01,3
humenspider7,2017-05,61,61,57,,,,,,,,,,,,,,,,,,,,,2,,,,
SOSCET,2017-10,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,
BRGheet,2017-11,148,148,136,,,,,,,,,,,,,,,,,,,,,,,,,
acton-robotics-team,2017-11,84,84,39,,,,,,,,,,,,,,,,,,,,,,,,,
PabloMonCL,2017-12,49,49,41,,,,,,,,,,,,,,,,,,,,,3,,PabloMonCL,2017-12,3
RobinROAR,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel2m,2017-05,34,34,34,,,,,,,,,,,,,,,,,,,,,2,,Samuel2m,2017-05,2
KwangEun,2017-12,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,
jacobmilligan,2017-05,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,jacobmilligan,2017-05,1
confetti,2017-09,10,10,5,1,,,7,,2,1,0,0,1,3,3,1,2,5,1,1,3,3,1,,1,,,
sdpjoshi,2017-10,2,2,2,,,,,,,1,0,0,3,3,0,1,,,,,,,,1,1,sdpjoshi,2017-10,1
katson95,2017-12,28,28,27,,,,,,,,,,,,,,,,,,,,,1,,katson95,2017-12,1
pg2017educator,2017-10,16,16,16,,,,,4,3,,,,,,,,,,,,,,,2,,pg2017educator,2017-10,2
brandmaier,2017-12,5,5,5,,1,,,,,,,,,,,,,,,,,,,,,brandmaier,2017-12,1
khanage,2017-07,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,
manzsh,2017-05,6,6,4,,,,,,,,,,,,,,,,,,,,,2,,manzsh,2017-05,4
sunxu933,2017-10,3,2,2,,,,,,,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,sunxu933,2017-10,1
akfreas,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
zpjgit,2017-05,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,zpjgit,2017-05,8
Boothand,2017-04,13,13,7,,,,,,,,,,,,,,,,,,,,,1,,Boothand,2017-04,1
InkPrism,2017-06,23,23,18,,,,,,,,,,,,,,,,,,,,,,,,,
AiursoftWeb,2017-10,186,186,168,1,26,,,,,,,,,,,,,,,,,,,14,,AiursoftWeb,2017-10,12
aVeryStrangeLoop,2017-07,7,7,7,,,,,,,,,,,,,,,,,,,,,1,,aVeryStrangeLoop,2017-07,1
tonimosnak,2017-09,14,14,13,,,,,,,,,,,,,,,,,,,,,4,,tonimosnak,2017-09,6
petitg1987,2017-09,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,
KeisukeKudo,2017-01,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
tomibarbieri,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
raghuveerbhat,2017-11,4,4,3,,,,,,,,,,,,,,,,,,,,,1,,raghuveerbhat,2017-11,1
piyusharma95,2017-04,7,7,4,,,,,,,,,,,,,,,,,,,,,3,,piyusharma95,2017-04,5
lizasixsixsix,2017-10,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
al216047,2017-04,5,5,5,2,,,,,,2,0,0,2,2,2,2,1,0,0,1,1,1,1,4,1,al216047,2017-04,4
sendohlib,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,sendohlib,2017-11,1
mfdteam,2017-02,102,102,94,2,2,,18,42,46,10,0,0,10,0,0,50,10,0,0,10,0,0,50,,2,,,
ak13ak,2017-02,9,9,9,,,,,,,,,,,,,,,,,,,,,2,,ak13ak,2017-02,3
masterluh,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
warzes,2017-02,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
johnhutchins,2017-09,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,johnhutchins,2017-09,1
eagleeyetom,2017-03,2,2,1,,,,,,,,,,,,,,1,1,0,0,0,0,0,,,,,
Beohari,2017-12,15,15,15,,,,,,,,,,,,,,,,,,,,,1,,Beohari,2017-12,1
amircohn,2017-12,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,amircohn,2017-12,1
fqueyroi,2017-09,24,24,22,,,,,,,,,,,,,,,,,,,,,2,,fqueyroi,2017-09,1
wangrain,2017-06,35,35,8,,,,,,,,,,,,,,,,,,,,,,,wangrain,2017-06,1
mef760,2017-05,16,16,10,,,,,,,,,,,,,,,,,,,,,2,,mef760,2017-05,1
skooter500,2017-05,4,4,2,3,1,,,,,,,,,,,,,,,,,,,,,skooter500,2017-05,4
1229476319,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,1229476319,2017-12,1
rona25,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,rona25,2017-10,1
arowk2017,2017-02,5,4,4,,,,,,,1,0,0,1,1,0,1,1,0,0,1,1,0,1,3,1,arowk2017,2017-02,2
Fluororuby,2017-12,3,3,3,,,,,,,,,,,,,,,,,,,,,3,,Fluororuby,2017-12,3
ekaterina-kuchinskaya,2017-09,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
edui,2017-08,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
oshimayoan,2017-12,7,7,7,,,,,,,,,,,,,,,,,,,,,1,,oshimayoan,2017-12,1
dongshimou,2017-05,54,54,48,,,,,3,,,,,,,,,,,,,,,,6,,dongshimou,2017-05,6
andybme,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,andybme,2017-02,1
hrvtom,2017-07,13,13,13,,,,,,,,,,,,,,,,,,,,,1,,hrvtom,2017-07,2
jackycaojiaqi,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,jackycaojiaqi,2017-09,1
younjin,2017-03,5,5,4,2,2,,,,,1,0,0,1,1,1,1,,,,,,,,,1,,,
pocmonliu,2017-12,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
FindAlex,2017-10,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandar0,2017-09,49,49,49,,,,,,,,,,,,,,,,,,,,,6,,Alexandar0,2017-09,7
hemajun815,2017-08,86,86,86,,,,,,,,,,,,,,,,,,,,,2,,hemajun815,2017-08,2
cs31415,2017-11,2,2,2,,,,,,,1,0,0,1,13,1,1,,,,,,,,1,1,cs31415,2017-11,1
slavab89,2017-05,11,11,6,,,,,,,,,,,,,,,,,,,,,1,,slavab89,2017-05,1
pourbrew,2017-10,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
inputmethod,2017-08,3,3,3,,,,,,,,,,,,,,,,,,,,,3,,inputmethod,2017-08,4
catmimigo,2017-04,3,2,2,,,,,,,1,0,0,1,2,1,1,1,0,0,1,2,1,1,1,1,catmimigo,2017-04,1
shamuce,2017-05,35,35,35,,,,,,,,,,,,,,,,,,,,,6,,shamuce,2017-05,5
contently,2017-01,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,
atteroAnimus,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,atteroAnimus,2017-09,1
xuezier,2017-02,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
M3phi5T0,2017-04,6,6,6,,,,,,,,,,,,,,,,,,,,,1,,M3phi5T0,2017-04,1
qcwyqcwy,2017-03,3,2,2,,,,,,,1,0,0,1,2,0,1,1,0,0,1,2,0,1,1,1,qcwyqcwy,2017-03,2
Oxylibrium,2017-05,395,353,97,,,,2,4,2,,,,,,,,,,,,,,,4,,Oxylibrium,2017-05,4
pavalavel,2017-06,54,54,54,,,,,,,,,,,,,,,,,,,,,1,,pavalavel,2017-06,1
nadrif,2017-04,82,62,49,,,,,,,1,0,0,5,693,159,33,1,0,0,20,12077,261,72,1,1,nadrif,2017-04,2
RoyPy,2017-05,156,71,12,,,,3,,2,,,,,,,,1,6,2,85,1858,1,44,,,,,
fortunatorty,2017-09,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,fortunatorty,2017-09,1
chrisnorman7,2017-09,267,267,188,4,1,,2,2,2,,,,,,,,,,,,,,,6,,chrisnorman7,2017-09,5
cmarcelly,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,
rixlopes,2017-10,38,38,38,,,,,,,,,,,,,,,,,,,,,6,,rixlopes,2017-10,9
Stanley1551,2017-08,8,8,8,,,,,,,,,,,,,,,,,,,,,2,,Stanley1551,2017-08,2
JifengZhang,2017-07,1,0,1,,,,,,,,,,,,,,,,,,,,,1,,JifengZhang,2017-07,1
ekral,2017-11,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
jiaenchao,2017-06,2,1,1,,,,,,,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,jiaenchao,2017-06,1
labsai,2017-11,23,23,10,1,3,,15,2,1,2,0,0,11,1331,147,23,2,7,0,12,1366,147,24,,,,,
IllyaTheHath,2017-04,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
phouverneyuff,2017-05,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,phouverneyuff,2017-05,1
peBetrator,2017-10,10,10,6,,,,,,,,,,,,,,,,,,,,,2,,peBetrator,2017-10,2
aneeshbhat1,2017-12,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,aneeshbhat1,2017-12,1
stevro,2017-10,2,1,1,,,,,,,2,0,0,3,13,5,2,2,0,0,3,13,5,2,,1,,,
angeltapes,2017-11,3,2,2,,,,,,,1,0,0,1,155,12,9,1,0,0,1,155,12,9,,,,,
Kwok369,2017-09,2,2,2,,,1,,,,,,,,,,,,,,,,,,1,,,,
sarah31,2017-05,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
fscheck,2017-03,20,19,16,1,16,,53,6,8,5,0,0,5,952,5563,59,5,6,0,8,770,6317,60,,,,,
gkeithleybjc,2017-03,2,2,2,,,,,,,,,,,,,,,,,,,,,1,,gkeithleybjc,2017-03,1
Honry,2017-04,1201,1773,144,10,,,82,,,104,0,0,284,461020,10658,7124,106,80,124,304,459084,10636,7050,3,2,Honry,2017-04,3
j-sho,2017-04,62,62,62,,,,,,,,,,,,,,,,,,,,,2,,j-sho,2017-04,2
