"","acq_firmyr_patent_count","acq_firmyr_fcitations10_total","acq_firmyr_complexity_mean","acq_firmyr_originality_mean","success","fyear","after","acq_emp","acq_xrd","acq_at","acq_ch","acq_ni","acq_leverage1","acq_sic","tar_emp","tar_xrd","tar_at","tar_ch","tar_leverage1","tar_firmyr_patent_count","tar_firmyr_fcitations10_total","tar_firmyr_generality_mean","tar_firmyr_originality_mean"
"4017",NA,NA,NA,NA,0,1995,0,3.148,0,334.264,4.552,22.463,0.0221382,5531,3.183,0,198.973,1.8,0.0037291,NA,NA,NA,NA
"4018",NA,NA,NA,NA,0,1996,0,3.677,0,443.066,6.409,12.741,0.0054168,5531,2.625,0,142.338,1.18,0.0052691,NA,NA,NA,NA
"4019",NA,NA,NA,NA,0,1997,0,4.35,0,511.735,5.064,27.18,0.0046899,5531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4020",NA,NA,NA,NA,1,1992,0,1.55,5.529,175.348,17.15,8.489,0.006661,6411,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4021",NA,NA,NA,NA,1,1993,0,1.525,6.917,183.326,38.012,9.71,0.0116405,6411,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4022",NA,NA,NA,NA,1,1994,0,1.9,10.641,216.761,30.74,15.389,0.0226378,6411,NA,NA,22.733,0.575,0.0746932,NA,NA,NA,NA
"4023",NA,NA,NA,NA,1,1995,0,2.45,8.8,368.039,9.768,-8.458,0.1238564,6411,NA,NA,23.492,0.394,0.119828,NA,NA,NA,NA
"4024",NA,NA,NA,NA,1,1996,0,2.9,13.2,521.683,19.24,38.753,0.0074471,6411,2,NA,91.905,3.826,0.0149393,NA,NA,NA,NA
"4025",NA,NA,NA,NA,1,1992,0,NA,NA,21.138,0.712,1.356,0.0552559,5190,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4026",NA,NA,NA,NA,1,1993,0,0.354,NA,39.121,14.224,2.145,0.0240025,5190,NA,0,33.452,0.32,0.0595779,NA,NA,NA,NA
"4027",NA,NA,NA,NA,1,1994,0,0.461,0,46.442,2.138,3.462,0.0270445,5190,0.7,0,46.33,0.564,0.0806821,NA,NA,NA,NA
"4028",NA,NA,NA,NA,1,1995,0,0.65,0,66.772,1.109,2.649,0.0545588,5190,0.875,0,81.908,0.665,0.045893,NA,NA,NA,NA
"4029",NA,NA,NA,NA,1,1996,0,0.65,0,66.477,0.3,0.662,0.0899559,5190,1.18,0,124.38,0.482,0.0563837,NA,NA,NA,NA
"4030",NA,NA,NA,NA,1,1993,0,0.7,0,33.258,0.5,0.428,0,7510,0.254,NA,89.762,4.261,0.1756088,NA,NA,NA,NA
"4031",NA,NA,NA,NA,1,1994,0,0.525,0,161.194,0.878,0.369,0,7510,0.258,NA,89.378,3.091,0.1250308,NA,NA,NA,NA
"4032",NA,NA,NA,NA,1,1995,0,1.709,0,386.323,0.357,0.337,0,7510,0.311,NA,95.695,2.341,0.1671038,NA,NA,NA,NA
"4033",NA,NA,NA,NA,1,1996,0,2,0,587.223,50.49,4.497,0,7510,0.363,NA,107.224,4.029,0.1940517,NA,NA,NA,NA
"4034",NA,NA,NA,NA,1,1992,0,NA,NA,NA,NA,NA,NA,5031,0.725,NA,47.647,0.013,0.0018259,NA,NA,NA,NA
"4035",NA,NA,NA,NA,1,1993,0,NA,NA,NA,NA,NA,NA,5031,0.906,NA,61.917,0.017,0.0270685,NA,NA,NA,NA
"4036",NA,NA,NA,NA,1,1994,0,NA,NA,NA,NA,NA,NA,5031,1.193,NA,87.332,0.019,0.0207255,NA,NA,NA,NA
"4037",NA,NA,NA,NA,1,1995,0,NA,0,54.851,0.977,6.981,0.0192704,5031,1.352,NA,107.414,0.024,0.0626734,NA,NA,NA,NA
"4038",NA,NA,NA,NA,1,1996,0,0.625,0,55.004,2.078,12.988,0.0066722,5031,1.127,NA,120.91,21.096,0.0653709,NA,NA,NA,NA
"4039",NA,NA,NA,NA,0,1992,0,0.179,0.505,15.197,2.032,0.524,0.0670527,3530,0.114,0.366,15.194,6.531,0.0065815,1,5,0.9999999,0.5
"4040",NA,NA,NA,NA,0,1993,0,0.192,0.182,13.204,0.64,0.206,0.0015147,3530,0.087,0.51,14.241,4.59,0.007022,NA,NA,NA,NA
"4041",NA,NA,NA,NA,0,1994,0,0.14,0.49,13.136,0.571,-1.468,0.0015987,3530,0.105,0.362,19.342,6.259,0.0051701,NA,NA,NA,NA
"4042",NA,NA,NA,NA,0,1995,0,0.124,0.395,12.57,1.335,1.625,0.0015911,3530,0.123,0.219,21.267,1.251,0.0188085,NA,NA,NA,NA
"4043",NA,NA,NA,NA,0,1996,0,0.143,0.277,16.547,1.852,2.053,0.0007252,3530,0.123,0.58,22.074,0.148,0.0317115,NA,NA,NA,NA
"4044",NA,NA,NA,NA,0,1997,0,0.159,0.287,22.219,0.752,2.612,0.0453666,3530,0.136,0.583,25.303,0.822,0.0039521,NA,NA,NA,NA
"4045",NA,NA,NA,NA,0,1998,1,0.16,0.478,23.58,1.829,1.378,0.0003817,3530,0.144,0.76,31.278,1.821,0.0031971,NA,NA,NA,NA
"4046",NA,NA,NA,NA,0,1999,1,0.302,0.301,45.406,6.242,-2.78,0.0347531,3530,0.142,0.743,24.435,2.868,0.0040925,NA,NA,NA,NA
"4047",NA,NA,NA,NA,0,2000,1,0.29,0.175,45.917,7.925,3.48,0.033125,3530,0.146,0.67,31.477,1.086,0.0031769,NA,NA,NA,NA
"4048",NA,NA,NA,NA,0,2001,1,0.225,0.456,41.343,6.114,-0.062,0.0557531,3530,0.119,0.379,17.839,1.628,0.0056057,NA,NA,NA,NA
"4049",1,4,5.397241,0.9344729,0,2002,1,0.177,0.358,36.703,5.385,0.663,0.0391521,3530,0.098,0.458,16.902,1.77,0.0059165,NA,NA,NA,NA
"4050",NA,NA,NA,NA,1,1993,0,0.056,8.91,31.063,3.132,-8.479,0.0310337,2834,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4051",NA,NA,NA,NA,1,1994,0,0.078,13.155,34.786,17.165,-8.339,0.0376876,2834,NA,7.615,21.108,1.59,0.0366212,NA,NA,NA,NA
"4052",2,14,6.270843,0.5,1,1995,0,0.129,14.689,40.293,21.706,-23.733,0.0669843,2834,0.113,15.138,48.001,13.513,0.0278328,1,1,NA,NA
"4053",5,48,6.449555,0.6825758,1,1996,0,0.16,24.319,80.832,10.822,-5.928,0.0245447,2834,0.203,29.763,66.093,9.403,0.0362671,4,15,0.9999999,NA
"4054",NA,NA,NA,NA,1,1992,0,23.8,48.5,1535.9,8.1,33.2,0.0008464,3312,0.359,NA,85.701,2.091,0.0390894,NA,NA,NA,NA
"4055",NA,NA,NA,NA,1,1993,0,21,39.2,1477.8,14.7,-116.5,0.002233,3312,0.31,NA,83.326,0.037,0.0402035,NA,NA,NA,NA
"4056",NA,NA,NA,NA,1,1994,0,18,65.9,1477.7,15.7,-8.4,0.0014211,3312,0.482,1.376,111.972,1.636,0.0001161,NA,NA,NA,NA
"4057",NA,NA,NA,NA,1,1995,0,18,57.3,1606.2,22.1,162,0.0041713,3312,0.58,1.595,133.077,0.572,0.019763,NA,NA,NA,NA
"4058",NA,NA,NA,NA,1,1996,0,24,66.2,2606.4,62.5,213,0.0017265,3312,0.731,1.968,267.404,1.46,0.0304558,1,3,0.9999999,0.8095238
"4059",NA,NA,NA,NA,1,1997,0,22,60.3,2604.5,50.3,297.6,0.0010751,3312,NA,NA,298.817,3.328,0.0059836,1,5,NA,0.6666666
"4060",NA,NA,NA,NA,1,1992,0,0.002,NA,0.724,0.517,-1.057,0,3640,0.363,1,28.231,1.251,0.0086076,1,14,0.7333333,0.6999999
"4061",NA,NA,NA,NA,1,1993,0,1.145,NA,75.144,4.973,-2.458,0.1624614,3640,0.422,2.767,39.051,2.994,0.0256075,2,38,0.4876634,0.3214286
"4062",NA,NA,NA,NA,1,1994,0,2.3,NA,262.383,11.554,8.229,0.1960798,3640,0.498,3.998,41.997,2.462,0.0522894,NA,NA,NA,NA
"4063",NA,NA,NA,NA,1,1995,0,2.468,0,314.862,5.047,-6.76,0.2009547,3640,0.584,4.497,47.185,1.509,0.0520504,5,60,0.6842424,0.4666667
"4064",NA,NA,NA,NA,1,1996,0,0.38,0,79.531,2.475,82.756,0.2218632,3640,0.496,4.32,47.844,1.829,0.0532146,2,35,0.3445855,0.3555555
"4065",NA,NA,NA,NA,1,1997,0,1.21,0,119.689,0.762,-4.933,0.2127012,3640,0.439,4.253,49.548,1.114,0.0511625,2,19,0.9285714,0.1428571
"4066",NA,NA,NA,NA,1,1994,0,0.1,1.902,8.22,4.074,-0.287,0.0023114,7380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4067",NA,NA,NA,NA,1,1995,0,0.13,2.87,38.879,19.301,2.137,0.000643,7380,0.157,2.587,26.803,17.518,0.028952,NA,NA,NA,NA
"4068",NA,NA,NA,NA,1,1996,0,0.17,4.23,48.327,10.735,4.585,0.0007035,7380,0.214,4.599,46.929,21.886,0.0228856,NA,NA,NA,NA
"4069",NA,NA,NA,NA,1,1995,0,0.121,NA,16.988,1.981,1.918,0.0101248,4899,0.49,3.415,72.883,9.076,0.150378,NA,NA,NA,NA
"4070",NA,NA,NA,NA,1,1996,0,0.172,NA,140.051,6.8,-0.956,0.0203283,4899,0.61,4.888,88.391,6.68,0.0905748,NA,NA,NA,NA
"4071",NA,NA,NA,NA,1,1992,0,13.88,0,390.942,35.254,37.11,0,5331,6.05,0,371.757,21.82,0.0710679,NA,NA,NA,NA
"4072",NA,NA,NA,NA,1,1993,0,16.399,0,468.22,24.873,43.027,0,5331,6.868,0,358.133,1.015,0.0977207,NA,NA,NA,NA
"4073",NA,NA,NA,NA,1,1994,0,18.837,0,551.62,40.356,55.22,0.0181284,5331,8.177,0,386.376,6.674,0.2085093,NA,NA,NA,NA
"4074",NA,NA,NA,NA,1,1995,0,21.633,0,639.815,12.999,64.406,0.0156295,5331,7.325,0,419.072,7.285,0.0001646,NA,NA,NA,NA
"4075",NA,NA,NA,NA,1,1996,0,38,0,1330.503,30.044,83.917,0.0209635,5331,9.586,0,384.996,9.639,0.008239,NA,NA,NA,NA
"4076",NA,NA,NA,NA,1,1993,0,NA,NA,38.129,NA,1.891,0.0523748,7311,0.788,NA,31.733,0.55,0.009643,NA,NA,NA,NA
"4077",NA,NA,NA,NA,1,1994,0,1.15,NA,123.373,NA,4.317,0.0447343,7311,0.97,NA,37.909,0.149,0.1607798,NA,NA,NA,NA
"4078",NA,NA,NA,NA,1,1995,0,1.491,NA,183.598,NA,3.486,0.1305842,7311,1.146,NA,38.654,0.529,0.045972,NA,NA,NA,NA
"4079",NA,NA,NA,NA,1,1996,0,2.817,NA,361.935,NA,7.039,0.0101455,7311,0.656,NA,28.998,0.099,0.0052762,NA,NA,NA,NA
"4080",NA,NA,NA,NA,1,1997,0,2.92,NA,417.509,NA,-20.837,0.0397333,7311,0.549,NA,31.858,0.16,0.1410635,NA,NA,NA,NA
