"","acq_firmyr_patent_count","acq_firmyr_fcitations10_total","acq_firmyr_complexity_mean","acq_firmyr_originality_mean","success","fyear","after","acq_emp","acq_xrd","acq_at","acq_ch","acq_ni","acq_leverage1","acq_sic","tar_emp","tar_xrd","tar_at","tar_ch","tar_leverage1","tar_firmyr_patent_count","tar_firmyr_fcitations10_total","tar_firmyr_generality_mean","tar_firmyr_originality_mean"
"1",NA,NA,NA,NA,1,1982,0,0.197,2.422,31.92,NA,3.803,0,3812,0.139,0.995,12.875,1.93,0,NA,NA,NA,NA
"2",NA,NA,NA,NA,1,1983,0,0.193,2.617,34.9,NA,4.011,0,3812,0.198,1.634,26.934,NA,0,NA,NA,NA,NA
"3",NA,NA,NA,NA,1,1984,0,0.197,2.849,35.389,NA,2.012,0.0006217,3812,0.207,1.653,30.346,NA,0,NA,NA,NA,NA
"4",NA,NA,NA,NA,1,1985,0,0.318,0.468,43.066,NA,1.127,0.0313472,3812,0.155,1.725,30.126,0.408,0,NA,NA,NA,NA
"5",NA,NA,NA,NA,1,1986,0,0.359,0.382,42.427,NA,2.866,0,3812,0.117,1.907,29.179,0.224,0,NA,NA,NA,NA
"6",NA,NA,NA,NA,0,1986,0,2.1,0,94.135,27.852,17.049,0.008934,5961,2.8,0,198.412,NA,0.0059321,NA,NA,NA,NA
"7",NA,NA,NA,NA,0,1987,0,4.4,NA,546.984,NA,29.528,0.034544,5961,3,NA,225.418,NA,0.0050173,NA,NA,NA,NA
"8",NA,NA,NA,NA,0,1988,1,4.4,NA,539.645,39.725,17.982,0.0015325,5961,3.4,0,258.564,NA,0.0018177,NA,NA,NA,NA
"9",NA,NA,NA,NA,1,1983,0,0.145,NA,5.874,1.23,1.196,0,2844,0.157,NA,25.682,10.376,0,NA,NA,NA,NA
"10",NA,NA,NA,NA,1,1984,0,0.184,NA,18.451,0.765,1.353,0.0601593,2844,0.158,NA,29.624,4.101,0,NA,NA,NA,NA
"11",NA,NA,NA,NA,1,1985,0,0.189,NA,19.027,0.501,1.836,0.0037315,2844,0.16,NA,35.146,0.637,0,NA,NA,NA,NA
"12",NA,NA,NA,NA,1,1986,0,0.185,0.114,38.696,0.886,2.38,0.0127145,2844,NA,NA,35.649,1.215,0,NA,NA,NA,NA
"13",NA,NA,NA,NA,1,1982,0,NA,NA,31.828,0.735,0.928,0.0003142,1311,0.095,NA,38.055,NA,0.0559979,NA,NA,NA,NA
"14",NA,NA,NA,NA,1,1983,0,0.044,NA,32.96,0.054,0.877,0.0003034,1311,0.103,NA,33.75,NA,0.0717926,NA,NA,NA,NA
"15",NA,NA,NA,NA,1,1984,0,0.031,NA,36.346,0.071,1.107,0,1311,0.089,NA,30.036,NA,0.0496737,NA,NA,NA,NA
"16",NA,NA,NA,NA,1,1985,0,0.033,NA,38.76,0.099,1.407,0,1311,0.087,NA,28.92,NA,0.0419087,NA,NA,NA,NA
"17",NA,NA,NA,NA,1,1986,0,0.041,NA,49.492,0.063,1.182,0,1311,0.077,NA,28.639,NA,0.0336953,NA,NA,NA,NA
"18",NA,NA,NA,NA,1,1987,0,0.094,NA,65.423,NA,0.212,0.007826,1311,0.071,NA,27.87,NA,0.0357015,NA,NA,NA,NA
"19",NA,NA,NA,NA,1,1988,1,0.182,NA,347.241,4.972,-4.429,0.1151938,1311,0.072,NA,27.591,3.344,0.0349752,NA,NA,NA,NA
"20",NA,NA,NA,NA,1,1989,1,0.257,NA,497.774,19.808,-17.465,0.0162343,1311,0.073,NA,28.69,5.198,0.0142558,NA,NA,NA,NA
"21",NA,NA,NA,NA,1,1990,1,0.287,NA,507.828,24.652,0.83,0,1311,0.072,NA,31.219,7.053,0.0393671,NA,NA,NA,NA
"22",NA,NA,NA,NA,1,1991,1,0.237,NA,439.361,16.726,-74.268,0,1311,0.074,NA,32.04,7.131,0.0345194,NA,NA,NA,NA
"23",NA,NA,NA,NA,1,1992,1,0.137,NA,276.959,11.457,-23.869,0,1311,0.074,NA,34.632,9.243,0.0340437,NA,NA,NA,NA
"24",2,29,4.535153,0.6666666,1,1981,0,0.84,NA,66.466,2.144,1.462,0.0633858,7370,0.93,1.103,62.193,1.43,0,NA,NA,NA,NA
"25",2,19,4.393926,0,1,1982,0,0.88,NA,60.664,1.136,-5.817,0.1598642,7370,0.7,1.241,61.643,0.941,0,NA,NA,NA,NA
"26",1,12,4.354243,0.1538461,1,1983,0,0.67,NA,51.587,1.72,-8.273,0.0799232,7370,0.75,1.002,64.557,0.635,0,NA,NA,NA,NA
"27",2,36,4.882827,0,1,1984,0,0.575,NA,55.204,1.007,0.392,0.5721143,7370,0.775,0.98,66.059,1.001,0,NA,NA,NA,NA
"28",1,6,5.296632,0.5238095,1,1985,0,1.55,NA,74.258,NA,-6.275,0.1301139,7370,0.75,0.975,68.252,1.236,0,NA,NA,NA,NA
"29",NA,NA,NA,NA,1,1982,0,NA,NA,0.992,0.011,-0.124,0.3568548,7363,25.41,NA,23.276,0.474,0.0014607,NA,NA,NA,NA
"30",NA,NA,NA,NA,1,1983,0,0.97,NA,4.606,NA,0.05,0.0021711,7363,25.4,NA,28.2,1.354,0.1084752,NA,NA,NA,NA
"31",NA,NA,NA,NA,1,1984,0,1.093,NA,5.275,-0.128,-1.394,0.2121327,7363,25.4,NA,26.491,0.11,0.0245366,NA,NA,NA,NA
"32",NA,NA,NA,NA,1,1985,0,1.327,NA,6.098,0.314,0.026,0.1098721,7363,28.4,NA,25.005,0.755,0.119976,NA,NA,NA,NA
"33",NA,NA,NA,NA,1,1982,0,0.072,1.649,7.965,1.452,-2.385,0.0130571,7373,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1,65,5.264668,0.6666667,1,1983,0,0.176,2.046,43.422,1.418,1.885,0.0091889,7373,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,48,5.265479,0.6666667,1,1984,0,0.435,5.308,59.552,1.861,6.256,0.014458,7373,NA,2.972,16.782,0.151,0.6101776,NA,NA,NA,NA
"36",NA,NA,NA,NA,1,1985,0,0.424,8.572,67.436,2.763,1.844,0.0480159,7373,NA,2.518,13.049,0.099,0.0649858,NA,NA,NA,NA
"37",NA,NA,NA,NA,1,1981,0,2.709,0.684,708.504,2.55,18.772,0.0054664,4923,0.295,NA,151.138,NA,0.0139078,NA,NA,NA,NA
"38",NA,NA,NA,NA,1,1982,0,2.814,1.321,849.267,-4.776,55.019,0.0654152,4923,0.201,NA,225.862,NA,0.0093066,NA,NA,NA,NA
"39",NA,NA,NA,NA,1,1983,0,2.897,1.028,926.632,-2.031,55.683,0.0410875,4923,0.162,NA,214.343,NA,0.0084118,NA,NA,NA,NA
"40",NA,NA,NA,NA,1,1984,0,2.911,NA,991.055,-10.418,65.87,0.036999,4923,0.136,NA,207.83,NA,0.0086802,NA,NA,NA,NA
"41",NA,NA,NA,NA,1,1985,0,2.943,NA,1005.258,-5.21,57.659,0.0464398,4923,0.133,NA,210.038,NA,0,NA,NA,NA,NA
"42",NA,NA,NA,NA,1,1986,0,2.713,NA,968.16,5.766,41.718,0.0946424,4923,0.075,NA,108.566,NA,0,NA,NA,NA,NA
"43",4,47,5.860618,0.5833333,1,1981,0,2.3,2.883,103.829,NA,10.018,0.0062892,3561,0.363,1.031,26.509,0.198,0.1449696,NA,NA,NA,NA
"44",NA,NA,NA,NA,1,1982,0,2.046,2.956,99.4,NA,4.92,0.0146881,3561,0.316,1,23.906,0.22,0.118966,NA,NA,NA,NA
"45",1,1,5.577445,0,1,1983,0,2.102,3.082,100.142,NA,3.02,0.017635,3561,0.313,0.966,23.83,0.206,0.0463282,NA,NA,NA,NA
"46",1,15,5.844205,0.9,1,1984,0,2.125,3.034,101.4,NA,-2.183,0.0222387,3561,0.364,1.111,24.773,0.343,0.0409317,1,23,0.5619047,0
"47",NA,NA,NA,NA,1,1985,0,1.907,2.863,101.468,NA,5.889,0.030177,3561,0.36,1.122,24.343,0.237,0.0529516,NA,NA,NA,NA
"48",NA,NA,NA,NA,0,1982,0,0.178,NA,86.842,NA,6.177,0.3410677,1531,2.6,NA,39.553,1.413,0.0373929,NA,NA,NA,NA
"49",NA,NA,NA,NA,0,1983,0,0.48,NA,239.497,NA,11.893,0.2845297,1531,7,NA,95.996,NA,0.0264594,NA,NA,NA,NA
"50",NA,NA,NA,NA,0,1984,0,0.514,NA,428.292,NA,15.541,0.217256,1531,18.3,NA,274.45,NA,0.0158499,NA,NA,NA,NA
"51",NA,NA,NA,NA,0,1985,0,0.749,NA,607.563,NA,24.184,0.175804,1531,23,NA,347.181,5.105,0.0154588,NA,NA,NA,NA
"52",NA,NA,NA,NA,0,1986,0,1.217,NA,1245.615,NA,35.722,0.1549026,1531,21,NA,321.217,3.833,0.2621904,NA,NA,NA,NA
"53",NA,NA,NA,NA,0,1987,0,1.26,NA,1294.504,NA,27.073,0.2082126,1531,15.7,NA,243.829,4.823,0.0213961,NA,NA,NA,NA
"54",NA,NA,NA,NA,0,1988,1,0.979,NA,1993.397,29.544,-31.37,0.0812879,1531,15.82,NA,235.712,12.826,0.0384579,NA,NA,NA,NA
"55",NA,NA,NA,NA,0,1989,1,0.69,NA,1663.726,48.731,-31.635,0.0646933,1531,15.53,NA,232.758,5.198,0.0227103,NA,NA,NA,NA
"56",NA,NA,NA,NA,0,1990,1,0.654,NA,1477.146,48.09,6.845,0.0510931,1531,15.24,NA,236.327,7.622,0.0130624,NA,NA,NA,NA
"57",NA,NA,NA,NA,0,1991,1,0.63,NA,1316.485,48.633,1.906,0.0478821,1531,14.3,NA,232.509,5.008,0.011049,NA,NA,NA,NA
"58",NA,NA,NA,NA,0,1992,1,0.773,NA,858.944,61.028,3.852,0.0781448,1531,14.3,NA,241.958,4.84,0.0076129,NA,NA,NA,NA
"59",NA,NA,NA,NA,1,1981,0,7.5,0,223.169,46.389,150.154,0.0895779,2844,2.4,0.625,50.286,1.533,0.0090681,NA,NA,NA,NA
"60",NA,NA,NA,NA,1,1982,0,8.3,0,225.674,1.687,15.489,0.0732561,2844,2.275,0.551,58.108,2.786,0.0202038,NA,NA,NA,NA
"61",NA,NA,NA,NA,1,1983,0,8,0,244.081,2.434,13.54,0.0665476,2844,2.55,0.999,61.341,1.43,0.0172968,NA,NA,NA,NA
"62",NA,NA,NA,NA,1,1984,0,7,0,266.109,2.874,9.928,0.0663149,2844,2.275,1.154,71.349,1.856,0.018865,NA,NA,NA,NA
"63",NA,NA,NA,NA,1,1985,0,12.2,0,1129.33,NA,-7.814,0.0227728,2844,2.125,0.706,70.097,2.425,0.0236815,NA,NA,NA,NA
"64",4,14,6.181438,0,1,1984,0,10.13,7.25,457.407,8.184,66.987,0.0218143,5040,4.4,15.202,350.049,NA,0.004208,11,122,0.6419962,0.8806547
"65",6,15,5.131129,0.375,1,1985,0,9.492,8.072,329.876,11.53,25.45,0.0323273,5040,4.2,18.454,385.67,NA,0.0377654,12,214,0.5613223,0.4917749
"66",NA,NA,NA,NA,1,1981,0,3.17,NA,1549.3,8.5,145.2,0.0029045,1311,0.862,0,785.112,2.736,0.0335672,NA,NA,NA,NA
"67",NA,NA,NA,NA,1,1982,0,1.718,NA,1682,17.4,76.3,0.0057075,1311,0.556,0,848.777,NA,0.0196106,NA,NA,NA,NA
"68",NA,NA,NA,NA,1,1983,0,1.636,NA,1681.6,12.1,94,0.0076118,1311,0.719,0,824.103,NA,0.0022424,NA,NA,NA,NA
"69",NA,NA,NA,NA,1,1984,0,0.809,NA,1545.5,18.3,95.3,0.0049822,1311,0.793,0,811.149,8.262,0.0025593,NA,NA,NA,NA
"70",NA,NA,NA,NA,1,1985,0,0.841,NA,1405.3,10.3,10.4,0.0079698,1311,0.631,0,669.224,1.334,0.0509396,NA,NA,NA,NA
"71",NA,NA,NA,NA,1,1981,0,3.762,NA,190.888,NA,16.155,0.0152917,2020,4.1,0.121,50.138,1.563,0.0356815,NA,NA,NA,NA
"72",NA,NA,NA,NA,1,1982,0,3.734,NA,212.421,NA,18.385,0.0150456,2020,4.1,0.124,65.034,0.374,0.0249869,NA,NA,NA,NA
"73",NA,NA,NA,NA,1,1983,0,4.078,NA,247.518,NA,22.116,0.0160918,2020,4.1,0.143,64.881,0.88,0.0541761,NA,NA,NA,NA
"74",NA,NA,NA,NA,1,1984,0,4.63,NA,279.506,NA,26.46,0.020343,2020,4.11,0.191,75.915,2.481,0.0273991,NA,NA,NA,NA
"75",2,21,4.81698,0,1,1981,0,17,NA,867.095,40.895,69.328,0.0371113,3490,0.132,NA,7.52,0.577,0,2,12,0.9444444,0.3333333
"76",3,15,5.170645,1,1,1982,0,17.3,NA,919.664,38.516,58.688,0.018809,3490,0.131,0.337,7.385,0.511,0,NA,NA,NA,NA
"77",5,53,6.241227,0.375,1,1983,0,16.8,NA,973.722,20.787,37.609,0.0903071,3490,0.115,0.318,9.001,0.322,0,1,0,NA,0.6666667
"78",3,29,6.978446,0.4,1,1984,0,10.8,NA,873.144,26.267,43.87,0.0137789,3490,0.124,0.244,9.967,0.392,0,2,20,0.8027778,0
"79",6,48,5.371653,0.6349207,1,1985,0,8.7,NA,796.118,25.354,19.867,0.0225645,3490,0.127,0.316,11.265,0.719,0,NA,NA,NA,NA
"80",1,0,5.835633,0.8484848,1,1991,1,2.1,4.395,228.933,31.036,-13.111,0.0291002,2851,2.012,1.565,182.723,0.064,0.0632487,1,35,0.7076023,0.3333333
"81",NA,NA,NA,NA,1,1981,0,86.8,NA,1454.876,NA,86.136,0.0141469,6798,40,NA,203.325,NA,0.0134022,NA,NA,NA,NA
"82",NA,NA,NA,NA,1,1982,0,109.2,NA,2062.648,NA,94.342,0.0179638,6798,44,NA,218.905,NA,0.0116626,NA,NA,NA,NA
"83",NA,NA,NA,NA,1,1983,0,109.4,NA,2501.427,NA,115.245,0.0154688,6798,50,NA,258.622,NA,0.0093341,NA,NA,NA,NA
"84",NA,NA,NA,NA,1,1984,0,120.1,NA,2904.669,NA,139.765,0.0134521,6798,58,NA,361.112,NA,0.0088172,NA,NA,NA,NA
"85",NA,NA,NA,NA,1,1985,0,154.6,NA,3663.8,NA,167.4,0.0138381,6798,60,NA,428.499,NA,0.0079323,NA,NA,NA,NA
"86",34,486,5.472662,0.623104,1,1981,0,71.3,100,2104.801,51.1,-288.8,0.0367731,3760,7.171,19.2,277.106,5.132,0.0050847,12,135,0.4830118,0.7933334
"87",31,506,5.259757,0.6778274,1,1982,0,70.2,127,2464.401,35,207.3,0.0249959,3760,7.859,22.888,336.142,4.954,0.0061046,9,110,0.869232,0.9230769
"88",41,490,5.541773,0.6295313,1,1983,0,71.8,284,2829.601,45.7,262.8,0.0295448,3760,9.394,24.994,466.294,4.06,0.0038602,34,378,0.4891792,0.6045046
"89",52,582,5.342876,0.5493943,1,1984,0,81.3,378,3165.6,32.8,344.1,0.0590409,3760,10.793,33.593,526.393,6.162,0.006915,18,282,0.474709,0.3874918
"90",30,353,5.279804,0.5669325,1,1985,0,87.8,429,4184,63,401,0.1429254,3760,11.413,40.099,617.616,7.815,0.0623689,24,392,0.5542579,0.5870571
"91",NA,NA,NA,NA,1,1981,0,1.51,0,116.283,3.202,5.671,0.2376702,5712,0.721,NA,43.504,1.222,0.0342727,NA,NA,NA,NA
"92",NA,NA,NA,NA,1,1982,0,1.632,0,124.963,2.05,6.807,0.1277738,5712,0.712,NA,41.82,4.038,0.0250837,NA,NA,NA,NA
"93",NA,NA,NA,NA,1,1983,0,2,0,159.216,3.945,9.955,0.1250314,5712,0.733,NA,42.267,1.158,0.0373814,NA,NA,NA,NA
"94",NA,NA,NA,NA,1,1984,0,2.45,0,209.511,5.55,11.749,0.21186,5712,0.718,NA,48.037,1.194,0.0353061,NA,NA,NA,NA
"95",NA,NA,NA,NA,0,1984,0,NA,NA,38.567,0.998,6.145,0.2517437,3021,5.5,NA,169.454,NA,0.0165709,NA,NA,NA,NA
"96",NA,NA,NA,NA,0,1985,0,0.64,NA,148.748,7.974,38.962,0.0001546,3021,5.6,NA,181.473,NA,0.0115499,1,16,0.6593407,0
"97",4,184,4.955712,0,0,1986,0,1.1,NA,440.38,66.077,132.134,0.0502634,3021,4.3,NA,194.362,NA,0.0050936,2,89,0.2672672,0
"98",7,472,4.627623,0,0,1987,1,2.4,NA,868.366,60.167,165.2,0.0633661,3021,3.9,NA,198.76,5.422,0.0049809,NA,NA,NA,NA
"99",NA,NA,NA,NA,0,1988,1,2.249,NA,1063.449,99.349,137.002,0.0711007,3021,4,NA,243.238,12.643,0.1251161,NA,NA,NA,NA
"100",1,163,4.717496,0,0,1989,1,3,NA,1166.367,171.424,174.998,0.0019282,3021,3.9,NA,251.676,24.773,0.0033098,NA,NA,NA,NA
"101",3,393,5.233729,0.1859944,0,1990,1,3.8,NA,1403.225,227.14,176.606,0.0499357,3021,3.7,NA,266.023,32.897,0.0031313,NA,NA,NA,NA
"102",3,332,4.929331,0.2193362,0,1991,1,4.22,NA,1430.821,84.717,234.711,0.0282285,3021,3.6,NA,332.09,75.971,0.0025084,NA,NA,NA,NA
"103",1,5,5.229959,0.6666666,1,1981,0,37.835,NA,2304.326,NA,146.474,0.0241389,4512,10.12,NA,834.57,24.057,0.2492074,NA,NA,NA,NA
"104",NA,NA,NA,NA,1,1982,0,36.897,NA,2657.88,NA,20.814,0.1050774,4512,9.76,NA,808.636,4.105,0.0810661,NA,NA,NA,NA
"105",NA,NA,NA,NA,1,1983,0,37.553,NA,3246.96,55.246,-86.73,0.0571374,4512,10.355,NA,812.164,NA,0.0578122,NA,NA,NA,NA
"106",NA,NA,NA,NA,1,1984,0,37.389,NA,3268.821,32.853,175.604,0.0523586,4512,10.264,NA,803.595,NA,0.0932833,NA,NA,NA,NA
"107",NA,NA,NA,NA,1,1985,0,39.047,NA,3626.84,37.151,259.453,0.0472386,4512,10.247,NA,951.523,NA,0.0250871,NA,NA,NA,NA
"108",7,138,5.161011,0.4133333,1,1981,0,NA,0,100,0.926,-1.293,0.38563,3823,4,5.627,242.875,NA,0.0195862,NA,NA,NA,NA
"109",5,82,5.527955,0.4444444,1,1982,0,0.16,0,77.422,0.917,-35.969,0.6071272,3823,3,4.9,241.087,NA,0.0028828,NA,NA,NA,NA
"110",2,24,5.405005,0.5555555,1,1983,0,0.015,0,53.687,0.449,-3.718,0.4824259,3823,2.8,4.2,255.594,NA,0.0027074,NA,NA,NA,NA
"111",4,76,5.137128,0.3333333,1,1984,0,2.61,0.433,186.532,NA,2.88,0.2496462,3823,2.95,4.4,294.19,NA,0.0024372,NA,NA,NA,NA
"112",7,211,5.406294,0.7487013,1,1985,0,2.4,2.2,268.878,NA,13.525,0.0087363,3823,2.75,4.2,321.491,NA,0.0013002,NA,NA,NA,NA
"113",6,73,5.34416,0.2638889,1,1986,0,8.6,5.379,740.729,NA,15.401,0.1234014,3823,2.7,4.2,259.97,NA,0.0548602,NA,NA,NA,NA
"114",3,36,5.06752,0.3035714,1,1987,1,7.95,8.5,655.265,NA,18.969,0.0023517,3823,3.7,4.3,291.605,NA,0.000559,1,1,NA,1
"115",5,98,5.111097,0.3875,1,1988,1,6.6,12,575.833,24.148,43.989,0.0037355,3823,3.9,4.1,302.291,9.035,0.002792,2,38,0.7266667,0.3
"116",2,8,5.33491,0,1,1989,1,6.3,12,507.15,4.751,61.117,0.0013566,3823,3.7,3,291.817,4.4,0.0004352,1,2,1,0.6666666
"117",2,15,5.400853,0.25,1,1990,1,8,13.4,744.502,0.585,35.709,0.0012706,3823,3.3,3,282.08,5.02,0.000436,1,32,0.7266667,0.8571429
"118",6,155,5.192671,0.6769841,1,1991,1,7.133,15.1,734.955,0.004,13.321,0.0031213,3823,0.171,0,23.637,0.048,0,NA,NA,NA,NA
"119",NA,NA,NA,NA,0,1982,0,1.046,6.55,160.248,18.11,14.87,0.0616732,3661,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,0,1983,0,1.85,12.394,358.763,7.492,48.089,0.0301285,3661,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",3,48,5.794221,0.3888889,0,1984,0,3,25.96,454.694,8.497,15.919,0.0351577,3661,0.111,NA,2.882,0.239,0.1592644,NA,NA,NA,NA
"122",4,27,5.266461,0.2083333,0,1985,0,1.96,26.238,329.531,2.845,-77.889,0.0349557,3661,0.171,NA,10.543,0.184,0.0249455,NA,NA,NA,NA
"123",1,53,6.046874,0.9999999,0,1986,0,1.7,22.86,297.405,7.746,-56.593,0.1370152,3661,0.24,NA,13.211,0.242,0.119673,NA,NA,NA,NA
"124",NA,NA,NA,NA,0,1987,0,1.52,21.447,291.788,0.934,-10.648,0.1258996,3661,0.262,NA,14.738,1.396,0.0641878,NA,NA,NA,NA
"125",1,10,5.938895,0,0,1988,1,2.159,14.581,254.291,21.688,-16.953,0.0599707,3661,0.314,NA,18.569,1.073,0.0551457,NA,NA,NA,NA
"126",NA,NA,NA,NA,1,1982,0,NA,1.16,10.892,0.201,-0.359,0,100,NA,2.683,12.411,NA,0.0014503,NA,NA,NA,NA
"127",NA,NA,NA,NA,1,1983,0,NA,1.927,10.267,0.071,-1.165,0,100,0.112,5.323,16.963,NA,0.0012969,NA,NA,NA,NA
"128",NA,NA,NA,NA,1,1984,0,0.046,3.043,17.21,0.025,-0.657,0,100,0.134,6.225,10.399,NA,0.0028849,NA,NA,NA,NA
"129",NA,NA,NA,NA,1,1985,0,0.064,1.249,17.069,0.048,-0.441,0,100,0.156,5.102,6.752,NA,0,NA,NA,NA,NA
"130",NA,NA,NA,NA,1,1986,0,0.076,1.461,35.905,0.345,0.13,0,100,0.1,4.094,8.56,NA,0,NA,NA,NA,NA
"131",NA,NA,NA,NA,1,1987,0,0.084,2.272,39.263,0.295,-1.048,0,100,0.103,4.162,9.021,NA,0,NA,NA,NA,NA
"132",NA,NA,NA,NA,1,1983,0,0.292,0.635,18.016,NA,1.094,0.0203153,3825,0.13,0.275,7.967,0.013,0.0120497,NA,NA,NA,NA
"133",NA,NA,NA,NA,1,1984,0,0.305,0.648,18.798,NA,1.546,0.010533,3825,0.145,0.504,9.202,2.184,0.0247772,NA,NA,NA,NA
"134",NA,NA,NA,NA,1,1985,0,0.302,0.665,19.854,NA,0.976,0.0110305,3825,0.164,0.652,9.592,1.876,0.028774,NA,NA,NA,NA
"135",NA,NA,NA,NA,1,1986,0,0.386,1.003,21.66,NA,1.015,0.010711,3825,0.138,0.92,8.845,1.533,0.0362917,1,11,0.8727273,NA
"136",NA,NA,NA,NA,1,1987,0,0.362,1.006,22.901,NA,1.002,0.0113532,3825,0.11,0.931,9.225,1.808,0.0358808,NA,NA,NA,NA
"137",1,4,5.317746,0,0,1983,0,4.464,4.763,213.522,NA,-3.087,0.0962477,3290,2.441,1.202,68.272,1.842,0.1466487,NA,NA,NA,NA
"138",1,5,5.716835,1,0,1984,0,4.541,4.313,208.682,NA,8.027,0.0828869,3290,2.45,1.324,71.835,1.726,0.1483399,NA,NA,NA,NA
"139",1,2,7.070911,1,0,1985,0,4.278,4.763,252.439,NA,4.695,0.0626805,3290,2.356,1.342,75,2.363,0.15568,NA,NA,NA,NA
"140",NA,NA,NA,NA,0,1986,0,4.21,6.22,295.232,NA,7.452,0.0680143,3290,2.443,1.557,77.971,1.29,0.1587257,NA,NA,NA,NA
"141",NA,NA,NA,NA,0,1987,0,1.319,3.041,125.371,1.493,42.918,0.0189518,3290,2.6,1.617,88.004,0.831,0.1448002,NA,NA,NA,NA
"142",NA,NA,NA,NA,0,1983,0,NA,NA,NA,NA,NA,NA,5045,0.706,0,37.065,1.376,0.0949683,NA,NA,NA,NA
"143",NA,NA,NA,NA,0,1984,0,NA,0,2.708,0.136,0.1,0.3725997,5045,1.05,0,65.529,7.216,0.0064552,NA,NA,NA,NA
"144",NA,NA,NA,NA,0,1985,0,0.037,0,14.427,0.547,0.747,0.0241908,5045,1.6,0,126.95,13.296,0.017755,NA,NA,NA,NA
"145",NA,NA,NA,NA,0,1986,0,0.236,0,87.893,0.374,3.236,0.0015246,5045,2.25,0,294.858,9.347,0.1681182,NA,NA,NA,NA
"146",NA,NA,NA,NA,0,1987,0,0.133,0,120.383,1.067,-10.226,0.0009885,5045,1.6,0,148.799,5.1,0.1656799,NA,NA,NA,NA
"147",NA,NA,NA,NA,0,1988,1,0.186,0,89.232,0.911,-10.711,0.0582863,5045,0.775,0,79.523,2.187,0.2583655,NA,NA,NA,NA
"148",NA,NA,NA,NA,0,1989,1,0.256,0,85.475,1.297,1.859,0.0019655,5045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,0,1990,1,0.229,0,107.572,0.458,-1.415,0.1189901,5045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",NA,NA,NA,NA,0,1982,0,0.31,NA,27.822,0.412,5.184,0,2721,2.33,NA,91.442,2.035,0.0036198,4,115,0.5612948,0.3333333
"151",NA,NA,NA,NA,0,1983,0,0.31,NA,32.237,0.382,6.22,0,2721,2.424,NA,102.575,0.47,0.0034999,3,4,0.6666666,0.3333333
"152",NA,NA,NA,NA,0,1984,0,0.31,NA,38.705,0.651,6.645,0,2721,2.606,NA,107.52,NA,0.0029669,2,8,1,1
"153",NA,NA,NA,NA,0,1985,0,0.31,NA,45.057,0.447,10.039,0,2721,2.609,NA,114.284,NA,0.0027388,2,18,0.8,1
"154",NA,NA,NA,NA,0,1986,0,0.305,NA,57.655,0.671,12.235,0.0238834,2721,2.611,NA,121.746,NA,0.001536,NA,NA,NA,NA
"155",NA,NA,NA,NA,0,1987,0,NA,NA,112.232,0.652,8.68,0.0274699,2721,2.5,NA,129.287,NA,0.0015702,1,56,0.6223699,0.7717391
"156",NA,NA,NA,NA,1,1983,0,7.345,NA,4386.309,11.735,264.797,0.0460845,4911,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,1,1984,0,7.358,NA,4653.77,7.565,271.067,0.0495706,4911,1.471,NA,4360.543,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,1,1985,0,8.221,NA,5324.941,7.338,323.961,0.0066585,4911,2.043,NA,5219.391,NA,NA,NA,NA,NA,NA
"159",12,184,5.822552,0.6506172,1,1983,0,3.9,8.265,236.664,4.709,27.817,0.1860655,3569,0.107,0.229,8.558,0.261,0.0158916,1,12,0.6909091,1
"160",12,525,5.916969,0.6410173,1,1984,0,4.4,9.814,292.536,2.229,30.732,0.2069523,3569,0.123,0.165,10.235,0.284,0.0212995,NA,NA,NA,NA
"161",14,285,5.474753,0.4610648,1,1985,0,4.8,11.384,362.495,4.231,34.254,0.2293714,3569,0.131,0.197,11.394,0.078,0.0120239,NA,NA,NA,NA
"162",19,575,6.05027,0.5724566,1,1986,0,5.1,12.354,441.074,7.242,40.942,0.2206047,3569,0.069,0.187,11.512,0.238,0.0119006,NA,NA,NA,NA
"163",18,292,5.804882,0.6220935,1,1987,0,5.3,14.656,521.524,4.489,48.086,0.2478448,3569,0.1,0.181,12.228,0.242,0.0266601,NA,NA,NA,NA
"164",NA,NA,NA,NA,1,1982,0,0.186,0.111,3.252,0.088,0.264,0,3661,NA,0.945,16.226,0.133,0.0559596,1,11,0.7777778,NA
"165",NA,NA,NA,NA,1,1983,0,0.183,0,4.198,0.196,0.512,0.0952835,3661,0.38,1.032,19.637,0.381,0.2744818,NA,NA,NA,NA
"166",NA,NA,NA,NA,1,1984,0,0.162,0,3.355,0.024,-2.067,0,3661,0.367,1.17,19.359,0.405,0.2066222,NA,NA,NA,NA
"167",NA,NA,NA,NA,1,1985,0,0.165,0.177,4.632,0.016,0.192,0.0863558,3661,0.2,1.08,30.37,0.39,0.1739875,NA,NA,NA,NA
"168",NA,NA,NA,NA,1,1986,0,0.197,0.433,6.172,0.013,1.736,0.081011,3661,0.2,0.662,22.656,9.341,0.002869,1,80,0.6620836,0
